z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
5,5,10B,-3.64E+3,6.87E-2,-5.56E+2,8.22E-2,-1.57E+3,8.22E-2,6.47E+3,1.50E-3,-5.26E+1,1.50E-3
5,6,11B,-1.98E+3,6.08E-2,-1.15E+4,2.38E-1,-1.25E+4,2.38E-1,6.92E+3,1.10E-3,3.77E+1,1.10E-3
5,7,12B,1.33E+4,1.32,-1.17E+4,2.32,-1.27E+4,2.32,6.63E+3,1.10E-1,-1.13E+2,1.10E-1
5,8,13B,1.34E+4,1.00,-1.70E+4,1.02E+1,-1.81E+4,1.02E+1,6.49E+3,7.69E-2,-1.25E+1,7.69E-2
5,9,14B,2.06E+4,2.12E+1,-1.62E+4,1.33E+2,-1.73E+4,1.33E+2,6.10E+3,1.51,-2.77E+2,1.51
6,2,8C,,,1.21E+4,1.82E+1,1.11E+4,1.82E+1,3.10E+3,2.28,-2.94E+3,2.28
6,3,9C,,,1.64E+4,2.31,1.54E+4,2.31,4.33E+3,2.37E-1,-9.35E+2,2.37E-1
6,4,10C,-2.31E+4,4.00E+2,3.64E+3,6.87E-2,2.62E+3,6.87E-2,6.03E+3,7.00E-3,-1.26E+2,7.00E-3
6,5,11C,-1.37E+4,5.00,1.98E+3,6.08E-2,9.59E+2,6.08E-2,6.67E+3,5.40E-3,-2.93E+1,5.40E-3
6,6,12C,-1.73E+4,9.99E-1,-1.33E+4,1.32,-1.43E+4,1.32,7.68E+3,2.00E-4,-2.10E+2,2.00E-4
6,7,13C,-2.22E+3,2.69E-1,-1.34E+4,1.00,-1.44E+4,1.00,7.46E+3,2.00E-4,-1.40E+2,2.00E-4
6,8,14C,1.56E+2,3.70E-3,-2.06E+4,2.12E+1,-2.16E+4,2.12E+1,7.52E+3,4.00E-4,-3.70E+1,4.00E-4
6,9,15C,9.77E+3,8.00E-1,-1.90E+4,2.10E+1,-2.01E+4,2.10E+1,7.10E+3,5.33E-2,-7.70E+1,5.33E-2
6,14,20C,1.57E+4,2.43E+2,-3.18E+4,5.93E+2,-3.29E+4,5.93E+2,5.96E+3,1.15E+1,-7.32E+2,1.15E+1
6,13,19C,1.65E+4,9.97E+1,-2.73E+4,5.34E+2,-2.83E+4,5.34E+2,6.11E+3,5.17,-6.04E+2,5.17
6,16,22C,2.18E+4,3.11E+2,,,,,5.42E+3,1.05E+1,-1.03E+3,1.05E+1
6,10,16C,8.01E+3,4.25,-2.34E+4,2.48E+1,-2.44E+4,2.48E+1,6.92E+3,2.23E-1,-2.50E+1,2.23E-1
6,12,18C,1.18E+4,3.52E+1,-2.68E+4,2.06E+2,-2.78E+4,2.06E+2,6.42E+3,1.66,-3.34E+2,1.66
