z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
28,20,48Ni,,,1.64E+4,6.56E+2,1.54E+4,6.56E+2,7.23E+3,9.00,-1.41E+2,9.00
28,21,49Ni,,,1.83E+4,7.81E+2,1.72E+4,7.81E+2,7.45E+3,1.20E+1,-1.02E+2,1.20E+1
29,28,57Cu,-1.47E+4,2.00E+2,8.77E+3,4.39E-1,7.75E+3,4.39E-1,8.50E+3,8.80E-3,-7.57E+1,8.80E-3
29,27,56Cu,-1.32E+4,4.00E+2,1.52E+4,6.40,1.42E+4,6.40,8.35E+3,1.14E-1,-7.14E+1,1.14E-1
29,26,55Cu,-1.73E+4,4.29E+2,1.37E+4,1.55E+2,1.26E+4,1.55E+2,8.23E+3,2.82,-5.44E+1,2.82
29,25,54Cu,-1.55E+4,4.54E+2,1.80E+4,4.00E+2,1.70E+4,4.00E+2,8.04E+3,7.00,-5.30E+1,7.00
29,29,58Cu,-9.36E+3,5.00E+1,8.56E+3,4.42E-1,7.53E+3,4.42E-1,8.57E+3,9.70E-3,-7.59E+1,9.70E-3
29,24,53Cu,,,1.64E+4,5.01E+2,1.54E+4,5.01E+2,7.89E+3,9.00,-4.96E+1,9.00
29,39,68Cu,4.44E+3,1.76,-2.10E+3,3.37,-3.12E+3,3.37,8.70E+3,2.33E-2,3.31E+1,2.33E-2
29,39,68Cu,4.44E+3,1.76,-2.10E+3,3.37,-3.12E+3,3.37,8.70E+3,2.33E-2,3.31E+1,2.33E-2
29,38,67Cu,5.60E+2,8.29E-1,-3.57E+3,3.02,-4.59E+3,3.02,8.73E+3,1.33E-2,3.90E+1,1.33E-2
29,37,66Cu,2.64E+3,9.25E-1,-2.51E+2,1.54,-1.27E+3,1.54,8.73E+3,9.80E-3,3.44E+1,9.80E-3
29,36,65Cu,-1.35E+3,3.55E-1,-2.13E+3,6.99E-1,-3.15E+3,6.99E-1,8.75E+3,9.90E-3,3.58E+1,9.90E-3
29,31,60Cu,-4.17E+3,1.62,6.12E+3,1.57,5.10E+3,1.57,8.66E+3,2.69E-2,-2.77E+1,2.69E-2
29,30,59Cu,-9.14E+3,6.01E-1,4.79E+3,3.97E-1,3.77E+3,3.97E-1,8.64E+3,8.99E-3,-4.08E+1,8.99E-3
29,35,64Cu,5.79E+2,6.44E-1,1.67E+3,2.05E-1,6.52E+2,2.05E-1,8.73E+3,6.70E-3,2.54E+1,6.70E-3
29,34,63Cu,-3.36E+3,1.54,-6.69E+1,1.49E-2,-1.08E+3,1.49E-2,8.75E+3,6.80E-3,2.21E+1,6.80E-3
29,33,62Cu,-1.61E+3,6.50E-1,3.95E+3,4.75E-1,2.93E+3,4.75E-1,8.71E+3,1.03E-2,6.40,1.03E-2
29,32,61Cu,-5.63E+3,1.59E+1,2.23E+3,9.61E-1,1.21E+3,9.61E-1,8.71E+3,1.56E-2,-2.27,1.56E-2
29,49,78Cu,1.26E+4,1.34E+1,-9.91E+3,4.00E+2,-1.09E+4,4.00E+2,8.35E+3,1.70E-1,-9.34E+1,1.70E-1
29,48,77Cu,9.92E+3,2.31,-1.15E+4,4.00E+2,-1.25E+4,4.00E+2,8.41E+3,1.57E-2,-6.77E+1,1.57E-2
29,47,76Cu,1.13E+4,1.71,-8.79E+3,3.00E+2,-9.81E+3,3.00E+2,8.44E+3,1.20E-2,-5.68E+1,1.20E-2
29,42,71Cu,4.61E+3,3.04,-7.30E+3,2.68,-8.32E+3,2.68,8.63E+3,2.10E-2,2.57E+1,2.10E-2
29,41,70Cu,6.58E+3,2.20,-3.76E+3,2.40,-4.78E+3,2.40,8.64E+3,1.55E-2,3.07E+1,1.55E-2
29,41,70Cu,6.58E+3,2.20,-3.76E+3,2.40,-4.78E+3,2.40,8.64E+3,1.55E-2,3.07E+1,1.55E-2
29,41,70Cu,6.58E+3,2.20,-3.76E+3,2.40,-4.78E+3,2.40,8.64E+3,1.55E-2,3.07E+1,1.55E-2
29,40,69Cu,2.68E+3,1.60,-5.75E+3,3.97,-6.77E+3,3.97,8.69E+3,2.03E-2,3.55E+1,2.03E-2
29,46,75Cu,8.08E+3,2.08,-1.02E+4,2.00E+2,-1.12E+4,2.00E+2,8.49E+3,9.59E-3,-3.11E+1,9.59E-3
29,45,74Cu,9.75E+3,6.64,-7.30E+3,2.00E+2,-8.32E+3,2.00E+2,8.52E+3,8.30E-2,-2.16E+1,8.30E-2
29,44,73Cu,6.60E+3,2.69,-8.87E+3,3.10,-9.90E+3,3.10,8.56E+3,2.66E-2,2.05,2.66E-2
29,43,72Cu,8.36E+3,2.55,-5.55E+3,2.63,-6.57E+3,2.63,8.58E+3,1.94E-2,1.13E+1,1.94E-2
29,53,82Cu,1.65E+4,4.00E+2,-1.50E+4,8.94E+2,-1.60E+4,8.94E+2,8.10E+3,5.00,-1.26E+2,5.00
29,52,81Cu,1.42E+4,3.00E+2,-1.58E+4,7.61E+2,-1.68E+4,7.61E+2,8.18E+3,4.00,-1.13E+2,4.00
29,51,80Cu,1.49E+4,3.00E+2,-1.34E+4,6.71E+2,-1.44E+4,6.71E+2,8.24E+3,4.00,-1.20E+2,4.00
29,50,79Cu,1.10E+4,1.05E+2,-1.42E+4,5.11E+2,-1.52E+4,5.11E+2,8.32E+3,1.32,-1.08E+2,1.32
29,54,83Cu,1.59E+4,5.83E+2,,,,,8.04E+3,6.00,-1.20E+2,6.00
30,28,58Zn,-1.87E+4,3.04E+2,9.36E+3,5.00E+1,8.34E+3,5.00E+1,8.39E+3,8.62E-1,-5.92E+1,8.62E-1
30,27,57Zn,-1.71E+4,4.47E+2,1.47E+4,2.00E+2,1.37E+4,2.00E+2,8.23E+3,4.00,-5.11E+1,4.00
30,29,59Zn,-1.34E+4,1.70E+2,9.14E+3,6.01E-1,8.12E+3,6.01E-1,8.47E+3,1.29E-2,-5.45E+1,1.29E-2
30,24,54Zn,,,1.55E+4,4.54E+2,1.45E+4,4.54E+2,7.74E+3,4.00,-5.24E+1,4.00
30,26,56Zn,-2.15E+4,6.40E+2,1.32E+4,4.00E+2,1.22E+4,4.00E+2,8.10E+3,7.00,-4.70E+1,7.00
30,25,55Zn,,,1.73E+4,4.29E+2,1.63E+4,4.29E+2,7.90E+3,7.00,-4.71E+1,7.00
30,53,83Zn,1.29E+4,3.00E+2,-1.59E+4,5.83E+2,-1.69E+4,5.83E+2,8.22E+3,4.00,-9.43E+1,4.00
30,52,82Zn,1.06E+4,3.91,-1.65E+4,4.00E+2,-1.76E+4,4.00E+2,8.30E+3,3.75E-2,-8.59E+1,3.75E-2
30,55,85Zn,1.46E+4,5.02E+2,,,,,8.09E+3,6.00,-9.79E+1,6.00
30,54,84Zn,1.22E+4,4.01E+2,-1.81E+4,6.40E+2,-1.91E+4,6.40E+2,8.17E+3,5.00,-9.23E+1,5.00
30,51,81Zn,1.14E+4,5.99,-1.42E+4,3.00E+2,-1.53E+4,3.00E+2,8.35E+3,6.21E-2,-8.82E+1,6.21E-2
30,50,80Zn,7.57E+3,3.87,-1.49E+4,3.00E+2,-1.59E+4,3.00E+2,8.42E+3,3.23E-2,-8.00E+1,3.23E-2
30,42,72Zn,4.42E+2,2.29,-8.36E+3,2.55,-9.38E+3,2.55,8.69E+3,2.98E-2,3.97E+1,2.98E-2
30,41,71Zn,2.81E+3,2.77,-4.61E+3,3.04,-5.63E+3,3.04,8.68E+3,3.74E-2,5.08E+1,3.74E-2
30,41,71Zn,2.81E+3,2.77,-4.61E+3,3.04,-5.63E+3,3.04,8.68E+3,3.74E-2,5.08E+1,3.74E-2
30,44,74Zn,2.29E+3,3.91,-9.75E+3,6.64,-1.07E+4,6.64,8.64E+3,3.40E-2,1.57E+1,3.40E-2
30,43,73Zn,4.10E+3,2.50,-6.60E+3,2.69,-7.62E+3,2.69,8.64E+3,2.54E-2,2.95E+1,2.54E-2
30,40,70Zn,-6.54E+2,1.57,-6.58E+3,2.20,-7.61E+3,2.20,8.72E+3,2.74E-2,5.34E+1,2.74E-2
30,49,79Zn,9.11E+3,2.52,-1.10E+4,1.05E+2,-1.20E+4,1.05E+2,8.45E+3,2.82E-2,-6.40E+1,2.82E-2
30,49,79Zn,9.11E+3,2.52,-1.10E+4,1.05E+2,-1.20E+4,1.05E+2,8.45E+3,2.82E-2,-6.40E+1,2.82E-2
30,46,76Zn,3.99E+3,2.43,-1.13E+4,1.71,-1.23E+4,1.71,8.58E+3,1.91E-2,-1.47E+1,1.91E-2
30,45,75Zn,5.90E+3,2.06,-8.08E+3,2.08,-9.11E+3,2.08,8.59E+3,2.61E-2,3.70,2.61E-2
30,48,78Zn,6.22E+3,2.20,-1.26E+4,1.34E+1,-1.37E+4,1.34E+1,8.50E+3,2.48E-2,-4.57E+1,2.48E-2
30,47,77Zn,7.20E+3,3.12,-9.92E+3,2.31,-1.09E+4,2.31,8.53E+3,2.56E-2,-3.18E+1,2.56E-2
30,47,77Zn,7.20E+3,3.12,-9.92E+3,2.31,-1.09E+4,2.31,8.53E+3,2.56E-2,-3.18E+1,2.56E-2
30,31,61Zn,-9.21E+3,3.76E+1,5.63E+3,1.59E+1,4.61E+3,1.59E+1,8.61E+3,2.60E-1,-2.11E+1,2.60E-1
30,30,60Zn,-1.45E+4,2.00E+2,4.17E+3,1.62,3.14E+3,1.62,8.58E+3,9.10E-3,-4.45E+1,9.10E-3
30,33,63Zn,-5.66E+3,2.03,3.36E+3,1.54,2.34E+3,1.54,8.68E+3,2.48E-2,1.50E+1,2.48E-2
30,32,62Zn,-9.18E+3,3.76E-1,1.61E+3,6.50E-1,5.97E+2,6.50E-1,8.67E+3,9.90E-3,-2.43,9.90E-3
30,39,69Zn,9.09E+2,1.42,-2.68E+3,1.60,-3.70E+3,1.60,8.72E+3,1.15E-2,5.55E+1,1.15E-2
30,39,69Zn,9.09E+2,1.42,-2.68E+3,1.60,-3.70E+3,1.60,8.72E+3,1.15E-2,5.55E+1,1.15E-2
30,38,68Zn,-2.92E+3,1.20,-4.44E+3,1.76,-5.46E+3,1.76,8.75E+3,1.15E-2,5.34E+1,1.15E-2
30,35,65Zn,-3.25E+3,6.30E-1,1.35E+3,3.55E-1,3.29E+2,3.55E-1,8.72E+3,9.90E-3,4.08E+1,9.90E-3
30,34,64Zn,-7.17E+3,1.48,-5.79E+2,6.44E-1,-1.60E+3,6.44E-1,8.73E+3,1.01E-2,2.67E+1,1.01E-2
30,37,67Zn,-1.00E+3,1.11,-5.60E+2,8.29E-1,-1.58E+3,8.29E-1,8.73E+3,1.12E-2,5.44E+1,1.12E-2
30,36,66Zn,-5.17E+3,8.00E-1,-2.64E+3,9.25E-1,-3.66E+3,9.25E-1,8.75E+3,1.12E-2,4.46E+1,1.12E-2
31,54,85Ga,1.33E+4,3.74E+1,-1.46E+4,5.02E+2,-1.56E+4,5.02E+2,8.25E+3,4.38E-1,-6.82E+1,4.38E-1
31,53,84Ga,1.40E+4,2.99E+1,-1.22E+4,4.01E+2,-1.32E+4,4.01E+2,8.30E+3,3.54E-1,-7.51E+1,3.54E-1
31,56,87Ga,1.47E+4,5.83E+2,,,,,8.12E+3,6.00,-7.02E+1,6.00
31,55,86Ga,1.56E+4,5.93E+2,-1.36E+4,6.40E+2,-1.47E+4,6.40E+2,8.18E+3,5.00,-7.69E+1,5.00
31,50,81Ga,8.66E+3,3.85,-1.14E+4,5.99,-1.24E+4,5.99,8.48E+3,4.03E-2,-5.95E+1,4.03E-2
31,52,83Ga,1.17E+4,3.55,-1.29E+4,3.00E+2,-1.39E+4,3.00E+2,8.37E+3,3.15E-2,-6.33E+1,3.15E-2
31,51,82Ga,1.24E+4,3.29,-1.06E+4,3.91,-1.16E+4,3.91,8.42E+3,2.96E-2,-6.97E+1,2.96E-2
31,43,74Ga,5.37E+3,2.99,-2.29E+3,3.91,-3.31E+3,3.91,8.66E+3,4.05E-2,3.84E+1,4.05E-2
31,43,74Ga,5.37E+3,2.99,-2.29E+3,3.91,-3.31E+3,3.91,8.66E+3,4.05E-2,3.84E+1,4.05E-2
31,42,73Ga,1.59E+3,1.67,-4.10E+3,2.50,-5.12E+3,2.50,8.69E+3,2.30E-2,5.17E+1,2.30E-2
31,45,76Ga,6.91E+3,1.95,-3.99E+3,2.43,-5.01E+3,2.43,8.62E+3,2.57E-2,1.32E+1,2.57E-2
31,44,75Ga,3.39E+3,6.72E-1,-5.90E+3,2.06,-6.92E+3,2.06,8.66E+3,8.90E-3,3.02E+1,8.90E-3
31,41,72Ga,3.99E+3,8.21E-1,-4.42E+2,2.29,-1.46E+3,2.29,8.68E+3,1.14E-2,5.74E+1,1.14E-2
31,40,71Ga,-2.32E+2,9.34E-2,-2.81E+3,2.77,-3.83E+3,2.77,8.71E+3,1.14E-2,5.97E+1,1.14E-2
31,47,78Ga,8.15E+3,3.68,-6.22E+3,2.20,-7.24E+3,2.20,8.57E+3,1.35E-2,-2.08E+1,1.35E-2
31,46,77Ga,5.22E+3,2.42,-7.20E+3,3.12,-8.22E+3,3.12,8.61E+3,3.15E-2,3.75,3.15E-2
31,49,80Ga,1.03E+4,3.54,-7.57E+3,3.87,-8.59E+3,3.87,8.50E+3,3.61E-2,-4.85E+1,3.61E-2
31,49,80Ga,1.03E+4,3.54,-7.57E+3,3.87,-8.59E+3,3.87,8.50E+3,3.61E-2,-4.85E+1,3.61E-2
31,48,79Ga,6.97E+3,3.71E+1,-9.11E+3,2.52,-1.01E+4,2.52,8.55E+3,1.53E-2,-2.88E+1,1.53E-2
31,32,63Ga,-9.62E+3,3.72E+1,5.66E+3,2.03,4.64E+3,2.03,8.58E+3,2.07E-2,-8.12,2.07E-2
31,31,62Ga,-9.84E+3,1.40E+2,9.18E+3,3.76E-1,8.15E+3,3.76E-1,8.51E+3,1.03E-2,-4.37E+1,1.03E-2
31,34,65Ga,-6.17E+3,2.30,3.25E+3,6.30E-1,2.23E+3,6.30E-1,8.66E+3,1.22E-2,2.56E+1,1.22E-2
31,33,64Ga,-4.51E+3,3.99,7.17E+3,1.48,6.14E+3,1.48,8.61E+3,2.23E-2,2.48,2.23E-2
31,30,61Ga,-1.33E+4,3.02E+2,9.21E+3,3.76E+1,8.19E+3,3.76E+1,8.44E+3,6.22E-1,-3.71E+1,6.22E-1
31,39,70Ga,1.65E+3,1.45,6.54E+2,1.57,-3.67E+2,1.57,8.70E+3,1.72E-2,5.31E+1,1.72E-2
31,36,67Ga,-4.20E+3,4.40,1.00E+3,1.11,-2.07E+1,1.11,8.70E+3,1.76E-2,4.65E+1,1.76E-2
31,35,66Ga,-2.11E+3,2.63,5.17E+3,8.00E-1,4.15E+3,8.00E-1,8.66E+3,1.66E-2,3.39E+1,1.66E-2
31,38,69Ga,-2.22E+3,5.50E-1,-9.09E+2,1.42,-1.93E+3,1.42,8.72E+3,1.74E-2,5.72E+1,1.74E-2
31,37,68Ga,-1.07E+2,2.35,2.92E+3,1.20,1.89E+3,1.20,8.70E+3,2.10E-2,4.93E+1,2.10E-2
31,29,60Ga,-1.20E+4,3.61E+2,1.45E+4,2.00E+2,1.35E+4,2.00E+2,8.32E+3,3.00,-5.09E+1,3.00
31,28,59Ga,-1.73E+4,4.34E+2,1.34E+4,1.70E+2,1.24E+4,1.70E+2,8.23E+3,3.00,-5.42E+1,3.00
32,45,77Ge,2.70E+3,1.69,-5.22E+3,2.42,-6.24E+3,2.42,8.67E+3,7.00E-4,2.94E+1,7.00E-4
32,45,77Ge,2.70E+3,1.69,-5.22E+3,2.42,-6.24E+3,2.42,8.67E+3,7.00E-4,2.94E+1,7.00E-4
32,46,78Ge,9.54E+2,1.03E+1,-8.15E+3,3.68,-9.17E+3,3.68,8.67E+3,4.53E-2,1.54E+1,4.53E-2
32,43,75Ge,1.17E+3,8.85E-1,-3.39E+3,6.72E-1,-4.41E+3,6.72E-1,8.69E+3,7.00E-4,5.26E+1,7.00E-4
32,43,75Ge,1.17E+3,8.85E-1,-3.39E+3,6.72E-1,-4.41E+3,6.72E-1,8.69E+3,7.00E-4,5.26E+1,7.00E-4
32,44,76Ge,-9.21E+2,8.86E-1,-6.91E+3,1.95,-7.93E+3,1.95,8.70E+3,3.00E-4,4.01E+1,3.00E-4
32,41,73Ge,-3.44E+2,3.85,-1.59E+3,1.67,-2.62E+3,1.67,8.70E+3,8.00E-4,6.87E+1,8.00E-4
32,41,73Ge,-3.44E+2,3.85,-1.59E+3,1.67,-2.62E+3,1.67,8.70E+3,8.00E-4,6.87E+1,8.00E-4
32,42,74Ge,-2.56E+3,1.69,-5.37E+3,2.99,-6.39E+3,2.99,8.72E+3,3.00E-4,5.80E+1,3.00E-4
32,40,72Ge,-4.35E+3,4.08,-3.99E+3,8.21E-1,-5.01E+3,8.21E-1,8.73E+3,1.10E-3,6.52E+1,1.10E-3
32,49,81Ge,6.24E+3,3.34,-8.66E+3,3.85,-9.68E+3,3.85,8.58E+3,2.54E-2,-2.91E+1,2.54E-2
32,49,81Ge,6.24E+3,3.34,-8.66E+3,3.85,-9.68E+3,3.85,8.58E+3,2.54E-2,-2.91E+1,2.54E-2
32,47,79Ge,4.10E+3,3.74E+1,-6.97E+3,3.71E+1,-8.00E+3,3.71E+1,8.63E+3,4.70E-1,-6.19E-1,4.70E-1
32,47,79Ge,4.10E+3,3.74E+1,-6.97E+3,3.71E+1,-8.00E+3,3.71E+1,8.63E+3,4.70E-1,-6.19E-1,4.70E-1
32,48,80Ge,2.67E+3,3.91,-1.03E+4,3.54,-1.13E+4,3.54,8.62E+3,2.57E-2,-1.59E+1,2.57E-2
32,34,66Ge,-9.58E+3,6.16,2.11E+3,2.63,1.09E+3,2.63,8.62E+3,3.64E-2,2.03E+1,3.64E-2
32,35,67Ge,-6.08E+3,4.34,4.20E+3,4.40,3.18E+3,4.40,8.63E+3,6.45E-2,3.98E+1,6.45E-2
32,32,64Ge,-1.47E+4,2.03E+2,4.51E+3,3.99,3.49E+3,3.99,8.52E+3,5.82E-2,-1.84E+1,5.82E-2
32,33,65Ge,-9.54E+3,8.47E+1,6.17E+3,2.30,5.15E+3,2.30,8.55E+3,3.33E-2,6.03,3.33E-2
32,30,62Ge,-1.77E+4,3.31E+2,9.84E+3,1.40E+2,8.82E+3,1.40E+2,8.34E+3,2.00,-2.79E+1,2.00
32,31,63Ge,-1.34E+4,2.04E+2,9.62E+3,3.72E+1,8.60E+3,3.72E+1,8.41E+3,5.91E-1,-2.09E+1,5.91E-1
32,38,70Ge,-6.22E+3,1.62,-1.65E+3,1.45,-2.67E+3,1.45,8.72E+3,1.17E-2,6.06E+1,1.17E-2
32,39,71Ge,-2.01E+3,4.08,2.32E+2,9.34E-2,-7.89E+2,9.34E-2,8.70E+3,1.15E-2,6.97E+1,1.15E-2
32,36,68Ge,-8.08E+3,2.63,1.07E+2,2.35,-9.14E+2,2.35,8.68E+3,2.76E-2,4.58E+1,2.76E-2
32,37,69Ge,-3.98E+3,3.19E+1,2.22E+3,5.50E-1,1.20E+3,5.50E-1,8.68E+3,1.91E-2,6.04E+1,1.91E-2
32,29,61Ge,-1.65E+4,4.24E+2,1.33E+4,3.02E+2,1.23E+4,3.02E+2,8.21E+3,5.00,-4.14E+1,5.00
32,27,59Ge,,,1.73E+4,4.34E+2,1.63E+4,4.34E+2,7.92E+3,7.00,-4.73E+1,7.00
32,28,60Ge,-2.18E+4,5.00E+2,1.20E+4,3.61E+2,1.10E+4,3.61E+2,8.11E+3,5.00,-5.16E+1,5.00
32,56,88Ge,1.09E+4,4.47E+2,-1.71E+4,6.40E+2,-1.81E+4,6.40E+2,8.23E+3,5.00,-4.95E+1,5.00
32,57,89Ge,1.34E+4,5.00E+2,,,,,8.16E+3,4.00,-5.22E+1,4.00
32,54,86Ge,9.56E+3,4.37E+2,-1.56E+4,5.93E+2,-1.66E+4,5.93E+2,8.35E+3,5.09,-4.73E+1,5.09
32,55,87Ge,1.20E+4,3.00E+2,-1.47E+4,5.83E+2,-1.57E+4,5.83E+2,8.28E+3,3.00,-5.22E+1,3.00
32,52,84Ge,7.70E+3,4.47,-1.40E+4,2.99E+1,-1.50E+4,2.99E+1,8.46E+3,3.77E-2,-4.59E+1,3.77E-2
32,53,85Ge,1.00E+4,4.83,-1.33E+4,3.74E+1,-1.44E+4,3.74E+1,8.40E+3,4.39E-2,-5.28E+1,4.39E-2
32,50,82Ge,4.69E+3,4.34,-1.24E+4,3.29,-1.35E+4,3.29,8.56E+3,2.73E-2,-4.20E+1,2.73E-2
32,51,83Ge,8.69E+3,3.69,-1.17E+4,3.55,-1.27E+4,3.55,8.50E+3,2.92E-2,-4.85E+1,2.92E-2
32,58,90Ge,1.25E+4,6.40E+2,,,,,8.10E+3,6.00,-5.03E+1,6.00
33,50,83As,5.67E+3,4.12,-8.69E+3,3.69,-9.71E+3,3.69,8.59E+3,3.37E-2,-2.81E+1,3.37E-2
33,57,90As,1.48E+4,5.18E+2,-1.25E+4,6.40E+2,-1.35E+4,6.40E+2,8.24E+3,4.00,-3.73E+1,4.00
33,58,91As,1.40E+4,5.89E+2,,,,,8.18E+3,4.00,-3.12E+1,4.00
33,55,88As,1.34E+4,2.00E+2,-1.09E+4,4.47E+2,-1.19E+4,4.47E+2,8.35E+3,2.00,-3.57E+1,2.00
33,56,89As,1.24E+4,3.00E+2,-1.34E+4,5.00E+2,-1.45E+4,5.00E+2,8.30E+3,3.00,-2.94E+1,3.00
33,53,86As,1.15E+4,4.26,-9.56E+3,4.37E+2,-1.05E+4,4.37E+2,8.45E+3,4.00E-2,-3.75E+1,4.00E-2
33,54,87As,1.08E+4,3.72,-1.20E+4,3.00E+2,-1.30E+4,3.00E+2,8.41E+3,3.43E-2,-3.03E+1,3.43E-2
33,51,84As,1.00E+4,3.72,-7.70E+3,4.47,-8.72E+3,4.47,8.54E+3,3.77E-2,-3.50E+1,3.77E-2
33,52,85As,9.22E+3,4.03,-1.00E+4,4.83,-1.10E+4,4.83,8.51E+3,3.62E-2,-2.79E+1,3.62E-2
33,59,92As,1.63E+4,6.40E+2,,,,,8.12E+3,5.00,-3.80E+1,5.00
33,46,79As,2.28E+3,5.32,-4.10E+3,3.74E+1,-5.13E+3,3.74E+1,8.67E+3,6.74E-2,2.99E+1,6.74E-2
33,47,80As,5.54E+3,3.44,-2.67E+3,3.91,-3.70E+3,3.91,8.65E+3,4.17E-2,1.04E+1,4.17E-2
33,44,77As,6.83E+2,1.69,-2.70E+3,1.69,-3.72E+3,1.69,8.69E+3,2.20E-2,5.20E+1,2.20E-2
33,45,78As,4.20E+3,9.78,-9.54E+2,1.03E+1,-1.97E+3,1.03E+1,8.67E+3,1.25E-1,3.81E+1,1.25E-1
33,42,75As,-8.64E+2,8.81E-1,-1.17E+3,8.85E-1,-2.19E+3,8.85E-1,8.70E+3,1.18E-2,6.70E+1,1.18E-2
33,43,76As,2.96E+3,8.86E-1,9.21E+2,8.86E-1,-1.00E+2,8.86E-1,8.68E+3,1.17E-2,5.96E+1,1.17E-2
33,40,73As,-2.72E+3,7.39,3.44E+2,3.85,-6.77E+2,3.85,8.68E+3,5.28E-2,7.28E+1,5.28E-2
33,41,74As,1.35E+3,1.69,2.56E+3,1.69,1.54E+3,1.69,8.68E+3,2.29E-2,6.93E+1,2.29E-2
33,48,81As,3.85E+3,2.80,-6.24E+3,3.34,-7.26E+3,3.34,8.64E+3,3.25E-2,-1.20,3.25E-2
33,49,82As,7.48E+3,3.75,-4.69E+3,4.34,-5.71E+3,4.34,8.61E+3,4.55E-2,-1.69E+1,4.55E-2
33,49,82As,7.48E+3,3.75,-4.69E+3,4.34,-5.71E+3,4.34,8.61E+3,4.55E-2,-1.69E+1,4.55E-2
33,35,68As,-4.70E+3,1.91,8.08E+3,2.63,7.06E+3,2.63,8.55E+3,2.71E-2,2.70E+1,2.71E-2
33,36,69As,-6.67E+3,3.20E+1,3.98E+3,3.19E+1,2.96E+3,3.19E+1,8.61E+3,4.63E-1,4.49E+1,4.63E-1
33,33,66As,-1.03E+4,2.00E+2,9.58E+3,6.16,8.55E+3,6.16,8.46E+3,8.61E-2,-1.95E+1,8.61E-2
33,34,67As,-1.00E+4,6.70E+1,6.08E+3,4.34,5.06E+3,4.34,8.53E+3,6.60E-3,1.46E+1,6.60E-3
33,31,64As,-1.26E+4,5.40E+2,1.47E+4,2.03E+2,1.37E+4,2.03E+2,8.28E+3,3.00,-2.59E+1,3.00
33,32,65As,-1.39E+4,3.12E+2,9.54E+3,8.47E+1,8.51E+3,8.47E+1,8.39E+3,1.30,-1.12E+1,1.30
33,30,63As,-1.66E+4,5.39E+2,1.34E+4,2.04E+2,1.23E+4,2.04E+2,8.19E+3,3.00,-2.56E+1,3.00
33,39,72As,-3.61E+2,4.52,4.35E+3,4.08,3.33E+3,4.08,8.66E+3,5.67E-2,6.84E+1,5.67E-2
33,37,70As,-2.40E+3,2.11,6.22E+3,1.62,5.20E+3,1.62,8.62E+3,2.00E-2,5.42E+1,2.00E-2
33,38,71As,-4.74E+3,5.01,2.01E+3,4.08,9.91E+2,4.08,8.66E+3,5.86E-2,6.32E+1,5.86E-2
34,61,95Se,1.33E+4,5.83E+2,,,,,8.11E+3,5.00,-2.73E+1,5.00
34,60,94Se,1.08E+4,5.39E+2,,,,,8.18E+3,5.00,-2.28E+1,5.00
34,50,84Se,1.83E+3,2.57E+1,-1.00E+4,3.72,-1.11E+4,3.72,8.65E+3,2.33E-2,-1.90E+1,2.33E-2
34,51,85Se,6.16E+3,4.03,-9.22E+3,4.03,-1.02E+4,4.03,8.61E+3,3.07E-2,-2.26E+1,3.07E-2
34,58,92Se,9.50E+3,4.00E+2,-1.63E+4,6.40E+2,-1.73E+4,6.40E+2,8.29E+3,4.00,-1.90E+1,4.00
34,59,93Se,1.20E+4,5.88E+2,,,,,8.22E+3,4.00,-2.37E+1,4.00
34,56,90Se,8.20E+3,3.29E+2,-1.48E+4,5.18E+2,-1.58E+4,5.18E+2,8.39E+3,3.66,-1.81E+1,3.66
34,57,91Se,1.05E+4,4.33E+2,-1.40E+4,5.89E+2,-1.51E+4,5.89E+2,8.33E+3,4.75,-2.36E+1,4.75
34,54,88Se,6.83E+3,4.61,-1.34E+4,2.00E+2,-1.44E+4,2.00E+2,8.49E+3,3.82E-2,-1.92E+1,3.82E-2
34,55,89Se,9.28E+3,4.95,-1.24E+4,3.00E+2,-1.34E+4,3.00E+2,8.43E+3,4.19E-2,-2.19E+1,4.19E-2
34,52,86Se,5.12E+3,3.97,-1.15E+4,4.26,-1.25E+4,4.26,8.58E+3,2.93E-2,-1.81E+1,2.93E-2
34,53,87Se,7.46E+3,3.87,-1.08E+4,3.72,-1.18E+4,3.72,8.52E+3,2.58E-2,-2.30E+1,2.58E-2
34,40,74Se,-6.92E+3,5.83,-1.35E+3,1.69,-2.37E+3,1.69,8.68E+3,3.00E-4,6.62E+1,3.00E-4
34,47,81Se,1.58E+3,1.37,-3.85E+3,2.80,-4.87E+3,2.80,8.68E+3,1.21E-2,2.38E+1,1.21E-2
34,47,81Se,1.58E+3,1.37,-3.85E+3,2.80,-4.87E+3,2.80,8.68E+3,1.21E-2,2.38E+1,1.21E-2
34,48,82Se,-9.52E+1,1.07,-7.48E+3,3.75,-8.51E+3,3.75,8.69E+3,5.70E-3,8.44,5.70E-3
34,45,79Se,1.50E+2,1.01,-2.28E+3,5.32,-3.30E+3,5.32,8.69E+3,2.80E-3,4.97E+1,2.80E-3
34,45,79Se,1.50E+2,1.01,-2.28E+3,5.32,-3.30E+3,5.32,8.69E+3,2.80E-3,4.97E+1,2.80E-3
34,46,80Se,-1.87E+3,3.09E-1,-5.54E+3,3.44,-6.56E+3,3.44,8.71E+3,1.18E-2,3.62E+1,1.18E-2
