z,n,name,spinAndParity,massExcess(keV),massExcessUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,pairingGap,pairingGapUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty
0,1,Neutron,,,,,,,,,,,,,
1,0,1H,,,,,,,,,,,,,
1,1,2H,,,,,,,,2.01E+3,5.31E-4,,,,
1,2,3H,,,,,,,,3.92E+3,5.00E+1,,,,
1,3,4H,,,,,,,,6.99E+2,8.36E+1,,,,
1,4,5H,,,,,,,,3.55E+2,1.50E+2,,,,
1,5,6H,,,,,,,,8.61E+2,5.33E+2,,,,
1,6,7H,,,,,,,,,,,,,
2,1,3He,,,,,,,,,,,,,
2,2,4He,,,,,,,,1.06E+4,1.00E+1,0.0,0.0,4.59E+1,1.77E-2
2,3,5He,,,,,,,,1.22E+3,1.41E+1,7.35E+2,2.00E+1,-1.52E+3,1.41E+1
2,4,6He,,,,,,,,1.06E+3,1.06E+1,,,,
2,5,7He,,,,,,,,1.47E+3,5.34,,,,
2,6,8He,,,,,,,,1.89E+3,2.37E+1,,,,
2,7,9He,,,,,,,,5.32E+2,5.70E+1,,,,
2,8,10He,,,,,,,,,,,,,
3,1,4Li,,,,,,,,5.14E+3,1.01E+3,,,,
3,2,5Li,,,,,,,,8.02E+3,1.11E+2,1.96E+3,5.00E+1,-1.82E+3,3.53E+1
3,3,6Li,,,,,,,,7.93E+2,2.50E+1,-1.47E+3,1.50E-3,-1.49E+3,7.53E-3
3,4,7Li,,,,,,,,2.60E+3,2.38E-2,-2.46E+3,4.20E-3,-3.09E+3,6.73E-3
3,5,8Li,,,,,,,,1.01E+3,9.89E-2,-6.10E+3,1.00E+2,-1.95E+3,5.00E+1
3,6,9Li,,,,,,,,2.04E+3,6.36,-1.03E+4,8.94E+1,-2.27E+2,4.47E+1
3,7,10Li,,,,,,,,2.11E+2,9.00,-1.12E+4,2.54E+2,-2.82E+2,1.27E+2
3,8,11Li,,,,,,,,3.02E+2,1.63E+1,-1.08E+4,1.00E+3,-1.68E+3,5.02E+2
3,9,12Li,,,,,,,,1.55E+2,4.09E+1,,,,
3,10,13Li,,,,,,,,,,,,,
4,2,6Be,,,,,,,,8.07E+3,1.00E+3,,,,
4,3,7Be,,,,,,,,4.11E+3,2.72,-1.58E+3,7.08E-2,-2.97E+3,5.82E-2
4,4,8Be,,,,,,,,8.61E+3,5.77E-2,9.18E+1,3.54E-2,-3.72E+3,2.50E-2
4,5,9Be,,,,,,,,2.57E+3,6.98E-2,-2.30E+3,2.00E+1,-4.17E+3,1.00E+1
4,6,10Be,,,,,,,,3.15E+3,1.37E-1,-7.40E+3,9.66E-2,-2.30E+3,6.30E-2
4,7,11Be,,,,,,,,1.33E+3,9.69E-1,-8.32E+3,7.56,-2.20E+3,3.80
4,8,12Be,,,,,,,,1.84E+3,5.26,-8.95E+3,1.91,-2.42E+3,2.24
4,9,13Be,,,,,,,,1.14E+3,6.65E+1,-9.70E+3,4.79E+1,-2.67E+3,2.59E+1
4,11,15Be,,,,,,,,1.12E+3,1.58E+2,,,,
4,12,16Be,,,,,,,,,,,,,
4,10,14Be,,,,,,,,1.78E+3,1.25E+2,-1.16E+4,1.61E+2,-2.89E+3,1.05E+2
5,12,17B,,,,,,,,7.35E+2,1.77E+2,-1.56E+4,2.15E+2,-2.60E+3,1.62E+2
5,13,18B,,,,,,,,4.93E+1,3.16E+2,,,,
5,14,19B,,,,,,,,8.26E+2,4.72E+2,,,,
5,15,20B,,,,,,,,3.24E+2,5.44E+2,,,,
5,16,21B,,,,,,,,,,,,,
5,10,15B,,,,,,,,1.43E+3,2.20E+1,-1.41E+4,2.10E+1,-6.65E+2,1.69E+1
5,11,16B,,,,,,,,7.74E+2,1.04E+2,-1.43E+4,3.87E+1,-1.72E+3,4.56E+1
5,2,7B,,,,,,,,7.44E+3,1.00E+3,-3.41E+3,2.00E+3,-1.16E+3,1.00E+3
5,3,8B,,,,,,,,2.87E+3,1.26E+1,-4.82E+3,2.12E+2,-1.59E+3,1.06E+2
5,4,9B,,,,,,,,5.06E+3,8.10E-1,-1.68E+3,5.00E+1,-3.90E+3,2.50E+1
5,5,10B,,,,,,,,1.50E+3,4.51E-1,-4.46E+3,1.50E-2,-3.57E+3,1.05E-2
5,6,11B,,,,,,,,4.04E+3,6.60E-1,-8.66E+3,1.28E-2,-1.16E+3,8.80E-3
5,7,12B,,,,,,,,7.54E+2,1.05,-1.00E+4,1.32,-5.45E+1,1.48
5,8,13B,,,,,,,,1.95E+3,1.06E+1,-1.08E+4,1.01,-1.49E+2,7.53
5,9,14B,,,,,,,,9.04E+2,1.83E+1,-1.18E+4,2.47E+1,-5.80E+2,1.87E+1
6,2,8C,,,,,,,,,,,,,
6,3,9C,,,,,,,,3.52E+3,9.24,-1.06E+4,2.00E+3,1.21E+3,1.00E+3
6,4,10C,,,,,,,,4.08E+3,1.06,-5.10E+3,5.44,-2.50E+3,2.72
6,5,11C,,,,,,,,2.80E+3,5.46E-2,-7.54E+3,9.26E-2,-1.33E+3,2.51E-1
6,6,12C,,,,,,,,6.88E+3,2.97E-2,-7.36E+3,3.54E-2,1.02E+2,1.77E-2
6,7,13C,,,,,,,,1.61E+3,3.55E-3,-1.06E+4,7.65E-2,2.14E+3,3.82E-2
6,8,14C,,,,,,,,3.47E+3,3.99E-1,-1.20E+4,8.10E-2,2.89E+3,4.05E-2
6,9,15C,,,,,,,,1.51E+3,1.87,-1.27E+4,8.34E-1,1.88E+3,1.43
6,14,20C,,,,,,,,1.52E+3,3.39E+2,-2.23E+4,2.84E+2,4.70E+2,2.00E+2
6,13,19C,,,,,,,,1.20E+3,1.35E+2,-1.98E+4,1.92E+2,-1.90E+2,1.24E+2
6,16,22C,,,,,,,,1.30E+3,5.98E+2,,,,
6,10,16C,,,,,,,,1.75E+3,9.05,-1.38E+4,4.05,7.42E+2,2.73
6,12,18C,,,,,,,,1.80E+3,5.42E+1,-1.74E+4,1.35E+2,-3.00E+2,7.50E+1
6,11,17C,,,,,,,,1.72E+3,1.94E+1,-1.50E+4,2.01E+1,-1.71E+2,1.45E+1
7,15,22N,,,,,,,,7.88E+2,2.65E+2,-2.24E+4,2.91E+2,3.46E+3,1.86E+2
7,14,21N,,,,,,,,1.53E+3,1.46E+2,-2.09E+4,2.44E+2,2.29E+3,1.47E+2
7,17,24N,,,,,,,,5.96E+2,4.35E+2,-2.48E+4,6.77E+2,4.46E+3,3.97E+2
7,16,23N,,,,,,,,2.63E+3,3.75E+2,-2.54E+4,6.72E+2,5.73E+3,4.01E+2
7,11,18N,,,,,,,,1.25E+3,1.72E+1,-1.29E+4,2.81E+1,1.15E+2,1.79E+1
7,10,17N,,,,,,,,1.52E+3,1.41E+1,-1.11E+4,1.50E+1,3.87E+2,1.06E+1
7,13,20N,,,,,,,,1.22E+3,8.75E+1,-1.77E+4,8.26E+1,5.61E+2,7.51E+1
7,12,19N,,,,,,,,1.58E+3,4.21E+1,-1.55E+4,2.66E+1,2.65E+2,2.28E+1
7,3,10N,,,,,,,,,,-1.09E+4,2.04E+3,8.42E+2,1.04E+3
7,4,11N,,,,,,,,3.70E+3,2.00E+2,-5.73E+3,2.56E+1,-2.24E+3,1.48E+1
7,5,12N,,,,,,,,2.48E+3,2.60,-8.00E+3,1.41,-5.39E+2,2.81
7,6,13N,,,,,,,,4.75E+3,5.34E-1,-9.49E+3,9.42E-1,1.83E+3,5.05E-1
7,7,14N,,,,,,,,1.39E+2,1.34E-1,-1.16E+4,1.49E-2,3.59E+3,2.31E-1
7,8,15N,,,,,,,,4.17E+3,1.15,-1.09E+4,1.21E-2,3.48E+3,6.07E-3
7,9,16N,,,,,,,,1.69E+3,7.67,-1.01E+4,2.65,9.92E+2,1.75
8,17,25O,,,,,,,,7.48E+2,1.64E+2,-2.07E+4,6.19E+2,4.69E+3,3.28E+2
8,18,26O,,,,,,,,1.33E+3,2.93E+2,-2.13E+4,2.84E+2,3.78E+3,2.07E+2
8,15,23O,,,,,,,,7.29E+2,1.22E+2,-2.02E+4,1.56E+2,5.11E+3,1.09E+2
8,16,24O,,,,,,,,2.47E+3,1.55E+2,-2.14E+4,2.83E+2,5.90E+3,1.75E+2
8,10,18O,,,,,,,,2.04E+3,1.31,-6.22E+3,3.80E-3,-1.71E+3,9.05E-3
8,13,21O,,,,,,,,1.52E+3,2.97E+1,-1.53E+4,2.11E+1,1.43E+3,1.89E+1
8,14,22O,,,,,,,,2.05E+3,7.32E+1,-1.80E+4,6.43E+1,3.41E+3,4.39E+1
8,11,19O,,,,,,,,1.82E+3,1.91,-8.96E+3,2.75,-9.73E+2,1.90
8,12,20O,,,,,,,,1.90E+3,6.17,-1.23E+4,3.68,7.50E+1,1.91
8,20,28O,,,,,,,,,,,,,
8,3,11O,,,,,,,,,,,,,
8,4,12O,,,,,,,,3.41E+3,3.15E+1,-5.47E+3,2.18E+1,-2.48E+3,1.61E+1
8,5,13O,,,,,,,,3.10E+3,9.02,-8.22E+3,9.76,-4.09E+2,6.82
8,6,14O,,,,,,,,4.97E+3,4.76,-1.01E+4,7.47E-2,2.50E+3,1.85E-1
8,7,15O,,,,,,,,1.22E+3,3.47E-1,-1.02E+4,4.93E-1,3.34E+3,3.56E-1
8,8,16O,,,,,,,,5.76E+3,2.45E-1,-7.16E+3,3.00E-4,1.21E+3,8.13E-4
8,9,17O,,,,,,,,1.95E+3,3.40E-3,-6.35E+3,7.00E-4,-4.94E+2,1.92E-2
9,18,27F,,,,,,,,9.05E+2,1.17E+2,-1.40E+4,4.37E+2,-6.50E+2,2.26E+2
9,19,28F,,,,,,,,7.61E+2,2.82E+2,-1.59E+4,4.18E+2,-6.14E+2,2.18E+2
9,16,25F,,,,,,,,1.77E+3,9.94E+1,-1.63E+4,1.65E+2,2.62E+3,9.56E+1
9,17,26F,,,,,,,,4.40E+2,1.08E+2,-1.55E+4,2.33E+2,1.44E+3,1.28E+2
9,17,26F,,,,,,,,4.40E+2,1.08E+2,-1.55E+4,2.33E+2,1.44E+3,1.28E+2
9,10,19F,,,,,,,,1.91E+3,2.31E-1,-4.01E+3,1.00E-3,-3.22E+3,1.11E-3
9,11,20F,,,,,,,,7.50E+2,9.00E-1,-8.12E+3,2.30,-1.34E+3,1.15
9,14,23F,,,,,,,,1.88E+3,5.45E+1,-1.49E+4,3.71E+1,1.88E+3,2.50E+1
9,15,24F,,,,,,,,2.34E+2,8.58E+1,-1.66E+4,1.25E+2,2.84E+3,7.96E+1
9,12,21F,,,,,,,,1.43E+3,6.32,-1.03E+4,1.51E+1,-6.96E+2,7.63
9,13,22F,,,,,,,,1.17E+3,1.88E+1,-1.27E+4,2.23E+1,3.32E+2,1.28E+1
9,21,30F,,,,,,,,4.58E+2,5.18E+2,,,,
9,22,31F,,,,,,,,,,,,,
9,20,29F,,,,,,,,1.02E+3,4.54E+2,-1.82E+4,7.27E+2,-2.68E+2,5.01E+2
9,5,14F,,,,,,,,2.66E+3,2.48E+2,-9.26E+3,4.02E+2,-4.53E+1,2.07E+2
9,6,15F,,,,,,,,4.75E+3,2.29E+1,-1.02E+4,1.48E+1,2.08E+3,1.14E+1
9,7,16F,,,,,,,,1.41E+3,7.96,-9.08E+3,5.45,1.41E+3,3.86
9,8,17F,,,,,,,,3.82E+3,2.69,-5.81E+3,3.66E-1,-3.71E+2,2.22E-1
9,9,18F,,,,,,,,6.40E+2,3.49E-1,-4.41E+3,4.63E-1,-2.03E+3,3.34E-1
10,10,20Ne,,,,,,,,5.05E+3,8.20E-2,-4.72E+3,1.60E-3,-2.29E+3,6.54E-3
10,11,21Ne,,,,,,,,1.80E+3,2.82E-2,-7.34E+3,3.85E-2,-1.26E+3,3.59E-2
10,12,22Ne,,,,,,,,2.58E+3,5.64E-2,-9.66E+3,1.77E-2,-4.73E+2,1.92E-2
10,13,23Ne,,,,,,,,1.83E+3,2.67E-1,-1.09E+4,2.63,-4.72E+2,1.32
10,14,24Ne,,,,,,,,2.35E+3,1.45E+1,-1.21E+4,1.02,3.39E+2,5.86E-1
10,15,25Ne,,,,,,,,6.99E+2,2.25E+1,-1.25E+4,3.14E+1,7.60E+2,2.13E+1
10,16,26Ne,,,,,,,,2.02E+3,4.94E+1,-1.12E+4,5.98E+1,-2.80E+2,3.13E+1
10,17,27Ne,,,,,,,,1.16E+3,9.04E+1,-9.99E+3,1.51E+2,-1.30E+3,8.84E+1
10,18,28Ne,,,,,,,,1.42E+3,1.24E+2,-9.62E+3,2.07E+2,-2.46E+3,1.21E+2
10,19,29Ne,,,,,,,,1.10E+3,1.76E+2,-1.13E+4,2.22E+2,-2.25E+3,1.34E+2
10,20,30Ne,,,,,,,,1.51E+3,2.35E+2,-1.38E+4,3.02E+2,-1.78E+3,1.97E+2
10,21,31Ne,,,,,,,,1.04E+3,3.42E+2,-1.59E+4,5.67E+2,-1.02E+3,3.40E+2
10,22,32Ne,,,,,,,,1.67E+3,4.86E+2,-1.75E+4,8.61E+2,-7.69E+2,6.06E+2
10,23,33Ne,,,,,,,,1.22E+3,5.54E+2,,,,
10,24,34Ne,,,,,,,,,,,,,
10,9,19Ne,,,,,,,,2.61E+3,2.13E-1,-3.52E+3,5.15E-1,-3.06E+3,2.70E-1
10,7,17Ne,,,,,,,,1.84E+3,1.02E+1,-9.03E+3,9.53,5.09E+2,4.78
10,8,18Ne,,,,,,,,3.80E+3,3.22E-1,-5.11E+3,3.64E-1,-1.51E+3,2.69E-1
10,5,15Ne,,,,,,,,,,-9.94E+3,8.97E+1,-4.26E+2,6.34E+1
10,6,16Ne,,,,,,,,4.37E+3,3.63E+1,-1.04E+4,2.37E+1,7.58E+2,1.57E+1
11,9,20Na,,,,,,,,1.47E+3,5.32,-6.24E+3,5.47,-1.53E+3,2.79
11,8,19Na,,,,,,,,3.01E+3,4.75E+1,-6.06E+3,1.75E+1,-1.27E+3,1.02E+1
11,7,18Na,,,,,,,,1.21E+3,7.29E+1,-9.35E+3,1.02E+2,4.46E+1,2.11E+2
11,6,17Na,,,,,,,,,,-9.73E+3,5.04E+2,-1.60E+2,3.92E+2
11,21,32Na,,,,,,,,6.27E+2,2.26E+2,-1.71E+4,1.25E+2,1.03E+3,9.95E+1
11,20,31Na,,,,,,,,1.31E+3,2.12E+1,-1.53E+4,1.21E+2,2.08E+2,6.10E+1
11,23,34Na,,,,,,,,8.82E+2,5.83E+2,-1.97E+4,7.81E+2,1.03E+3,4.97E+2
11,22,33Na,,,,,,,,1.38E+3,4.37E+2,-1.87E+4,6.91E+2,1.19E+3,4.22E+2
11,24,35Na,,,,,,,,9.79E+2,6.54E+2,-2.14E+4,8.57E+2,1.33E+3,5.64E+2
11,26,37Na,,,,,,,,7.81E+2,7.03E+2,,,,
11,10,21Na,,,,,,,,3.01E+3,5.58E-1,-6.56E+3,2.51E-1,-1.29E+3,1.31E-1
11,12,23Na,,,,,,,,2.73E+3,6.66E-2,-1.04E+4,2.00E-3,1.87E+2,2.36E-2
11,11,22Na,,,,,,,,6.75E+2,9.56E-2,-8.47E+3,4.81E-1,-4.87E+2,2.51E-1
11,14,25Na,,,,,,,,1.71E+3,1.94,-1.17E+4,2.16,2.30E+2,1.24
11,13,24Na,,,,,,,,1.02E+3,6.00E-1,-1.08E+4,3.40E-2,-1.61E+1,3.07E-2
11,16,27Na,,,,,,,,1.59E+3,6.02,-1.12E+4,3.35E+1,-3.14E+2,1.69E+1
11,15,26Na,,,,,,,,5.77E+2,3.15,-1.20E+4,1.28E+1,3.25E+2,6.74
11,18,29Na,,,,,,,,1.06E+3,7.66,-1.10E+4,9.67E+1,-1.26E+3,4.86E+1
11,17,28Na,,,,,,,,4.30E+2,8.33,-1.09E+4,9.82E+1,-7.89E+2,4.94E+1
11,19,30Na,,,,,,,,1.01E+3,8.56,-1.26E+4,1.07E+2,-6.36E+2,5.36E+1
12,11,23Mg,,,,,,,,1.69E+3,8.27E-2,-9.65E+3,1.63E-1,1.57E+2,9.89E-2
12,10,22Mg,,,,,,,,3.11E+3,3.93E-1,-8.14E+3,3.96E-1,-5.11E+2,2.20E-1
12,13,25Mg,,,,,,,,1.88E+3,3.72E-2,-9.88E+3,6.07E-2,-6.20E+2,3.83E-2
12,12,24Mg,,,,,,,,4.60E+3,3.04E-2,-9.31E+3,1.30E-2,-3.33E+2,9.15E-3
12,15,27Mg,,,,,,,,1.03E+3,1.35E-1,-1.18E+4,1.14E-1,5.35E+2,6.56E-2
12,14,26Mg,,,,,,,,2.32E+3,3.95E-2,-1.06E+4,3.42E-2,-1.42E+1,2.49E-2
12,17,29Mg,,,,,,,,1.33E+3,7.04E-1,-1.10E+4,2.90E+1,-6.62E+2,1.45E+1
12,16,28Mg,,,,,,,,2.42E+3,2.53E-1,-1.14E+4,5.75E-1,5.27,3.49E-1
12,19,31Mg,,,,,,,,1.73E+3,2.79,-1.25E+4,9.08E+1,-5.48E+2,4.88E+1
12,18,30Mg,,,,,,,,2.01E+3,1.79,-1.17E+4,1.84E+1,-8.73E+2,9.26
12,20,32Mg,,,,,,,,1.74E+3,3.07,-1.45E+4,1.26E+2,2.60E+2,7.25E+1
12,22,34Mg,,,,,,,,1.97E+3,1.34E+2,-1.73E+4,2.53E+2,1.23E+3,1.37E+2
12,21,33Mg,,,,,,,,1.21E+3,4.25,-1.58E+4,1.49E+2,9.51E+2,9.39E+1
12,24,36Mg,,,,,,,,1.54E+3,6.15E+2,-1.90E+4,8.54E+2,9.52E+2,5.52E+2
12,23,35Mg,,,,,,,,1.28E+3,3.94E+2,-1.79E+4,3.78E+2,1.11E+3,2.42E+2
12,26,38Mg,,,,,,,,1.43E+3,5.55E+2,-2.11E+4,7.18E+2,7.66E+2,4.63E+2
12,25,37Mg,,,,,,,,9.92E+2,6.51E+2,-2.03E+4,9.21E+2,1.45E+3,5.97E+2
12,28,40Mg,,,,,,,,8.94E+2,5.09E+2,,,,
12,9,21Mg,,,,,,,,2.36E+3,1.07,-8.02E+3,8.33E-1,-7.39E+2,5.03
12,8,20Mg,,,,,,,,3.89E+3,3.00E+1,-8.93E+3,2.05E+1,-1.11E+2,1.41E+1
12,7,19Mg,,,,,,,,,,-1.08E+4,8.97E+1,2.43E+2,2.55E+2
12,6,18Mg,,,,,,,,,,,,,
13,9,22Al,,,,,,,,1.27E+3,4.13E+2,-9.26E+3,4.11E+2,-1.95E+2,3.03E+2
13,8,21Al,,,,,,,,,,-1.00E+4,6.03E+2,3.65E+2,4.69E+2
13,22,35Al,,,,,,,,1.70E+3,7.49E+1,-1.48E+4,1.57E+1,-4.05E+1,5.69E+1
13,23,36Al,,,,,,,,1.15E+3,1.38E+2,-1.51E+4,1.54E+2,-6.99E+2,1.15E+2
13,20,33Al,,,,,,,,1.44E+3,6.19,-1.36E+4,1.01E+1,3.39E+2,1.99E+1
13,21,34Al,,,,,,,,1.36E+3,5.28,-1.38E+4,5.17,-7.58E+1,3.63E+1
13,21,34Al,,,,,,,,1.36E+3,5.28,-1.38E+4,5.17,-7.58E+1,3.63E+1
13,26,39Al,,,,,,,,1.17E+3,2.72E+2,-1.87E+4,7.34E+2,-5.35E+1,4.23E+2
13,27,40Al,,,,,,,,7.80E+2,3.24E+2,-1.95E+4,7.50E+2,-3.14E+2,4.50E+2
13,24,37Al,,,,,,,,1.40E+3,1.66E+2,-1.63E+4,4.84E+2,-4.09E+2,2.65E+2
13,25,38Al,,,,,,,,8.39E+2,2.09E+2,-1.76E+4,6.18E+2,-8.40E+1,3.21E+2
13,28,41Al,,,,,,,,8.31E+2,4.08E+2,-2.09E+4,7.95E+2,-4.30E+1,5.10E+2
13,29,42Al,,,,,,,,5.80E+2,5.09E+2,-2.23E+4,8.73E+2,3.82E+2,5.61E+2
13,30,43Al,,,,,,,,,,-2.41E+4,9.55E+2,1.12E+3,6.38E+2
13,11,24Al,,,,,,,,1.03E+3,2.38E-1,-9.32E+3,1.12,-9.98E+1,8.10E-1
13,11,24Al,,,,,,,,1.03E+3,2.38E-1,-9.32E+3,1.12,-9.98E+1,8.10E-1
13,12,25Al,,,,,,,,2.78E+3,1.27E-1,-9.15E+3,7.74E-2,-6.52E+2,1.86E-1
13,10,23Al,,,,,,,,2.32E+3,1.98E+2,-8.60E+3,1.05E+1,-6.12E+2,6.93
13,15,28Al,,,,,,,,8.51E+2,1.77E-1,-1.08E+4,5.13E-2,4.89E+2,4.06E-2
13,16,29Al,,,,,,,,1.85E+3,9.98E-1,-1.12E+4,1.24,3.60E+2,8.46E-1
13,13,26Al,,,,,,,,8.46E+2,6.27E-2,-9.45E+3,1.47E-1,-4.80E+2,8.71E-2
13,13,26Al,,,,,,,,8.46E+2,6.27E-2,-9.45E+3,1.47E-1,-4.80E+2,8.71E-2
13,14,27Al,,,,,,,,2.66E+3,5.43E-2,-1.00E+4,4.73E-2,2.11E+2,3.34E-2
13,19,32Al,,,,,,,,6.24E+2,6.25,-1.25E+4,1.25E+1,4.79E+2,9.74
13,17,30Al,,,,,,,,7.15E+2,1.77,-1.14E+4,4.00,1.59E+2,2.25
13,18,31Al,,,,,,,,1.46E+3,4.03,-1.18E+4,4.34,-2.37E+2,2.61
14,30,44Si,,,,,,,,1.37E+3,4.90E+2,-2.26E+4,7.07E+2,1.65E+3,4.99E+2
14,12,26Si,,,,,,,,2.86E+3,5.00,-9.16E+3,1.92E-1,-8.86E+1,1.50E-1
14,13,27Si,,,,,,,,1.93E+3,9.31E-2,-9.33E+3,1.12E-1,1.26E+2,1.38E-1
14,10,24Si,,,,,,,,3.14E+3,2.53E+2,-9.15E+3,1.95E+1,3.02E+1,8.11E+1
14,11,25Si,,,,,,,,2.02E+3,1.20E+1,-9.50E+3,1.00E+1,7.73E+1,9.62
14,16,30Si,,,,,,,,2.01E+3,2.77E-2,-1.06E+4,3.64E-2,1.35E+3,3.07E-2
14,17,31Si,,,,,,,,1.30E+3,1.52E-1,-1.07E+4,6.41E-2,1.23E+3,4.36E-2
14,14,28Si,,,,,,,,4.35E+3,5.42E-2,-9.98E+3,1.29E-2,1.51E+3,6.48E-3
14,15,29Si,,,,,,,,1.06E+3,1.29E-2,-1.11E+4,4.69E-2,2.00E+3,2.34E-2
14,18,32Si,,,,,,,,2.34E+3,4.08E-1,-1.14E+4,3.96E-1,1.23E+3,2.65E-1
14,19,33Si,,,,,,,,1.52E+3,6.54E-1,-1.23E+4,7.78E-1,1.75E+3,5.32E-1
14,23,37Si,,,,,,,,1.73E+3,1.02E+2,-1.39E+4,1.13E+2,-4.51E+2,8.05E+1
14,24,38Si,,,,,,,,2.04E+3,1.15E+2,-1.49E+4,1.05E+2,-4.86E+2,7.41E+1
14,21,35Si,,,,,,,,1.82E+3,4.39E+1,-1.36E+4,3.59E+1,1.24E+3,3.56E+1
14,22,36Si,,,,,,,,1.95E+3,7.83E+1,-1.40E+4,7.18E+1,6.02E+2,5.08E+1
14,27,41Si,,,,,,,,1.96E+3,2.57E+2,-1.74E+4,7.61E+2,-7.64E+2,4.35E+2
14,28,42Si,,,,,,,,1.94E+3,3.18E+2,-1.96E+4,5.86E+2,5.17E+2,3.85E+2
14,25,39Si,,,,,,,,1.57E+3,1.25E+2,-1.57E+4,3.01E+2,-5.98E+2,1.65E+2
14,26,40Si,,,,,,,,2.09E+3,1.80E+2,-1.71E+4,7.00E+2,-7.89E+1,3.55E+2
14,20,34Si,,,,,,,,2.53E+3,1.79E+1,-1.35E+4,1.52,2.12E+3,3.68
14,29,43Si,,,,,,,,1.24E+3,3.93E+2,-2.08E+4,6.50E+2,6.58E+2,4.30E+2
14,9,23Si,,,,,,,,1.74E+3,4.38E+2,-1.03E+4,5.04E+2,7.15E+2,4.07E+2
14,8,22Si,,,,,,,,,,,,,
15,25,40P,,,,,,,,7.38E+2,1.01E+2,-1.65E+4,1.71E+2,8.74E+2,1.04E+2
15,24,39P,,,,,,,,1.39E+3,9.69E+1,-1.49E+4,1.12E+2,5.83E+2,8.55E+1
15,23,38P,,,,,,,,1.26E+3,7.85E+1,-1.40E+4,7.26E+1,7.06E+2,5.93E+1
15,22,37P,,,,,,,,1.55E+3,4.56E+1,-1.29E+4,3.85E+1,1.09E+3,4.37E+1
15,29,44P,,,,,,,,6.13E+2,4.02E+2,-2.01E+4,5.00E+2,1.16E+3,4.06E+2
15,28,43P,,,,,,,,1.05E+3,2.94E+2,-1.88E+4,4.24E+2,9.14E+2,2.78E+2
15,27,42P,,,,,,,,1.05E+3,1.75E+2,-1.78E+4,1.78E+2,2.75E+2,1.11E+2
15,26,41P,,,,,,,,1.45E+3,1.05E+2,-1.72E+4,2.16E+2,7.53E+2,1.41E+2
15,21,36P,,,,,,,,1.67E+3,2.11E+1,-1.15E+4,1.49E+1,9.22E+2,1.88E+1
15,20,35P,,,,,,,,2.45E+3,6.70,-1.23E+4,2.91,2.48E+3,1.93
15,32,47P,,,,,,,,,,-2.18E+4,8.48E+2,2.47E+3,6.26E+2
15,31,46P,,,,,,,,4.51E+2,5.31E+2,-2.15E+4,7.07E+2,2.00E+3,4.76E+2
15,30,45P,,,,,,,,1.01E+3,4.75E+2,-2.10E+4,6.40E+2,1.70E+3,4.52E+2
15,14,29P,,,,,,,,3.27E+3,6.28E-1,-1.04E+4,3.64E-1,1.99E+3,3.21E-1
15,13,28P,,,,,,,,1.65E+3,4.57,-9.52E+3,1.16,4.56E+2,8.56E-1
15,12,27P,,,,,,,,2.57E+3,1.04E+2,-9.83E+3,9.00,5.15E+2,6.59
15,11,26P,,,,,,,,1.20E+3,2.48E+2,-9.65E+3,4.46E+2,4.65E+2,2.43E+2
15,18,33P,,,,,,,,1.91E+3,8.70E-1,-1.05E+4,1.14,1.35E+3,7.90E-1
15,17,32P,,,,,,,,1.08E+3,5.45E-1,-9.87E+3,6.30E-2,1.11E+3,4.13E-2
15,16,31P,,,,,,,,2.18E+3,3.92E-2,-9.66E+3,4.74E-2,1.33E+3,2.96E-2
15,15,30P,,,,,,,,4.95E+2,1.85E-1,-1.04E+4,9.29E-2,1.87E+3,6.17E-2
15,10,25P,,,,,,,,2.29E+3,3.92E+2,-9.32E+3,7.21E+2,3.65E+2,4.22E+2
15,19,34P,,,,,,,,1.04E+3,1.22,-1.11E+4,2.09,1.71E+3,1.12
16,33,49S,,,,,,,,,,-1.91E+4,8.37E+2,1.54E+3,6.18E+2
16,32,48S,,,,,,,,1.37E+3,4.96E+2,-1.93E+4,7.07E+2,1.57E+3,5.26E+2
16,31,47S,,,,,,,,6.59E+2,4.35E+2,-1.95E+4,5.65E+2,1.71E+3,3.99E+2
16,30,46S,,,,,,,,1.28E+3,3.94E+2,-1.86E+4,5.00E+2,1.16E+3,4.06E+2
16,15,31S,,,,,,,,9.94E+2,1.92E-1,-9.08E+3,2.53E-1,1.32E+3,3.80E-1
16,14,30S,,,,,,,,2.99E+3,6.52,-9.34E+3,2.32E-1,1.29E+3,1.60E-1
16,13,29S,,,,,,,,1.89E+3,8.05E+1,-9.34E+3,1.64E+1,3.15E+2,1.04E+1
16,12,28S,,,,,,,,3.12E+3,2.32E+2,-9.09E+3,1.61E+2,1.99E+2,1.13E+2
16,19,35S,,,,,,,,1.45E+3,1.00E-1,-8.32E+3,5.93E-2,7.50E+2,2.50
16,18,34S,,,,,,,,2.21E+3,3.77E-2,-7.92E+3,4.96E-2,3.57E+2,1.03E-1
16,17,33S,,,,,,,,1.38E+3,2.28E-2,-7.11E+3,1.40E-3,1.64E+2,1.03E-1
16,16,32S,,,,,,,,3.20E+3,1.14E-1,-6.94E+3,1.40E-3,1.53E+2,1.35E-2
16,11,27S,,,,,,,,1.60E+3,4.21E+2,-8.88E+3,6.41E+2,1.47E+2,3.90E+2
