"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
38,94,0,Sr,,0,keV,,"0+",,75.3,s,0.2,,,,,,,,-78845.721,keV,1.663,"B- = 100 ",
38,95,0,Sr,,0,keV,,"1/2+",,23.9,s,0.14,,,,,,,,-75117.284,keV,5.81,"B- = 100 ",
38,96,0,Sr,,0,keV,,"0+",,1.065,s,0.015,,,,,,,,-72918.248,keV,8.466,"B- = 100 ,B-n?",
38,97,0,Sr,,0,keV,,"1/2+",,431,ms,5,,,,,,,,-68580.674,keV,3.385,"B- = 100,B-n = 0.03 0.02",
38,98,0,Sr,,0,keV,0,"0+",,653,ms,2,,,,,,,,-66422.389,keV,3.226,"B- = 100,B-n = 0.23 0.03",
38,99,0,Sr,,0,keV,,"3/2+",,269,ms,1,,,,,,,,-62518.527,keV,4.737,"B- = 100,B-n = 0.1 0.019",
38,100,0,Sr,,0,keV,,"0+",,201,ms,1,,,,,,,,-59817.505,keV,6.918,"B- = 100,B-n = 1.09 0.25",
38,101,0,Sr,,0,keV,,"(5/2-)",,114,ms,2,,,,,,,,-55324.914,keV,8.48,"B- = 100,B-n = 2.75 0.25",
38,102,0,Sr,,0,keV,,"0+",,72,ms,6,,,,,,,,-52159.311,keV,67.068,"B- = 100,B-n = 5.5 1.5",
38,103,0,Sr,,0,keV,,,,56,ms,9,,,,,,,,-47280,keV,200,"B-n?,B-2n?,B- = 100 ",
38,104,0,Sr,,0,keV,,"0+",,51,ms,4,,,,,,,,-43760,keV,300,"B-n?,B-2n?,B- = 100",
38,105,0,Sr,,0,keV,,,,39,ms,5,,,,,,,,-38190,keV,500,"B-n?,B-2n?,B- = 100",
38,106,0,Sr,,0,keV,,"0+",,20,ms,+8-7,,,,,,,,-34300,keV,600,"B-n?,B-2n?,B- = 100",
38,107,0,Sr,,0,keV,0,,,,,,,,,,,,,-28250,keV,700,"B-n?,B-2n?,B- = 100",
38,108,0,Sr,,0,keV,0,"0+",,,,,,,,,,,,,,,"B-n?,B-2n?,B- = 100",
39,76,0,Y,,0,keV,0,,,24,ms,+12-6,,,,,,,,-38250,keV,300,"p?,EC+B+?,ECp?",
39,77,0,Y,,0,keV,0,,,57,ms,+22-12,,,,,,,,-46439,keV,203,"p?,EC+B+?,ECp?",
39,78,0,Y,,0,keV,0,"(0+)",,50,ms,3,,,,,,,,-52173,keV,298,"ECp?,EC+B+ = 100",
39,78,1,Y,,0,keV,,"(5+)",,5.8,s,0.6,,,,,,,,-52173,keV,298,"ECp?,EC+B+ = 100",
39,79,0,Y,,0,keV,0,"(5/2+)",,14.8,s,0.6,,,,,,,,-57802.935,keV,80.108,"ECp?,EC+B+ = 100",
39,80,0,Y,,0,keV,,"(4-)",,30.1,s,0.5,,,,,,,,-61148.162,keV,6.242,"ECp?,EC+B+ = 100 ",
39,80,1,Y,,228.5,keV,0.1,"(1-)",,4.8,s,0.3,,,,,,,,-60919.662,keV,6.243,"EC+B+ = 19 2,IT = 81 2,ECp?",
39,81,0,Y,,0,keV,,"(5/2+)",,70.4,s,1,,,,,,,,-65712.919,keV,5.405,"EC+B+ = 100 ",
39,82,0,Y,,0,keV,,"1+",,8.3,s,0.2,,,,,,,,-68064.097,keV,5.499,"EC+B+ = 100 ",
39,83,0,Y,,0,keV,,"(9/2+)",,7.08,m,0.06,,,,,,,,-72205.672,keV,18.631,"EC+B+ = 100 ",
39,83,1,Y,,62.04,keV,0.1,"(3/2-)",,2.85,m,0.02,,,,,,,,-72143.63200000001,keV,18.63126836799,"IT = 40 5,EC+B+ = 60 5",
39,84,0,Y,,0,keV,,"(6+)",,40.1,m,1.1,,,,,,,,-73894.439,keV,4.299,"EC+B+ = 100 ",
39,84,1,Y,,67,keV,0.2,"1+",,4.6,s,0.2,,,,,,,,-73827.439,keV,4.304,"EC+B+ = 100 ",
39,85,0,Y,,0,keV,,"(1/2)-",,2.67,h,0.05,,,,,,,,-77842.131,keV,18.965,"EC+B+ = 100 ",
39,85,1,Y,,19.68,keV,0.17,"(9/2)+",,4.9,h,0.1,,,,,,,,-77822.451,keV,18.966,"EC+B+ ~ 100 ",
39,86,0,Y,,0,keV,,"4-",,14.74,h,0.02,,,,,,,,-79283.1,keV,14.142,"EC+B+ = 100",
39,86,1,Y,,218.21,keV,0.09,"(8+)",,47.4,m,0.4,,,,,,,,-79064.89,keV,14.14,"IT = 99.31 0.04,EC+B+ = 0.69 0.04",
39,87,0,Y,,0,keV,,"1/2-",,79.89,h,0.25,,,,,,,,-83018.387,keV,1.128,"EC+B+ = 100 ",
39,87,1,Y,,380.82,keV,0.07,"9/2+",,13.38,h,0.03,,,,,,,,-82637.567,keV,1.13,"IT = 98.43 0.11,EC+B+ = 1.57 0.11",
39,88,0,Y,,0,keV,,"4-",,106.626,d,0.02,,,,,,,,-84299.029,keV,1.5,"EC+B+ = 100 ",
39,89,0,Y,,0,keV,,"1/2-",,STABLE,,,,,,,,100,0,-87711.202,keV,0.339,,
39,89,1,Y,,908.97,keV,0.03,"9/2+",,15.663,s,0.003,,,,,,,,-86802.232,keV,0.34,"IT = 100 ",
39,90,0,Y,,0,keV,,"2-",,64.046,h,0.049,,,,,,,,-86496.912,keV,0.354,"B- = 100 ",
39,90,1,Y,,682.01,keV,0.05,"7+",,3.232,h,0.01,,,,,,,,-85814.902,keV,0.358,"B- = 0.0018 0.0002,IT = 99.9982 0.0002",
39,91,0,Y,,0,keV,,"1/2-",,58.56,d,0.09,,,,,,,,-86351.321,keV,1.843,"B- = 100 ",
39,91,1,Y,,555.58,keV,0.05,"9/2+",,49.72,m,0.09,,,,,,,,-85795.741,keV,1.844,"B- = 1.5 ,IT = 98.5 ",
39,92,0,Y,,0,keV,,"2-",,3.54,h,0.01,,,,,,,,-84816.494,keV,9.127,"B- = 100 ",
39,93,0,Y,,0,keV,,"1/2-",,10.17,h,0.08,,,,,,,,-84227.155,keV,10.488,"B- = 100 ",
39,93,1,Y,,758.719,keV,0.021,"9/2+",,0.82,s,0.04,,,,,,,,-83468.436,keV,10.488,"IT = 100 ",
39,94,0,Y,,0,keV,,"2-",,18.7,m,0.1,,,,,,,,-82351.473,keV,6.38,"B- = 100 ",
39,95,0,Y,,0,keV,,"1/2-",,10.4,m,0.1,,,,,,,,-81207.937,keV,6.779,"B- = 100 ",
39,96,0,Y,,0,keV,,"0-",,5.35,s,0.04,,,,,,,,-78329.986,keV,6.075,"B- = 100 ",
39,96,1,Y,,1540.5,keV,0.4,"8+",,9.7,s,0.2,,,,,,,,-76789.486,keV,6.088,"B- = 100 ",
39,97,0,Y,,0,keV,,"(1/2-)",,3.75,s,0.03,,,,,,,,-76115.455,keV,6.708,"B- = 100,B-n = 0.057 0.004",
39,97,1,Y,,667.52,keV,0.23,"(9/2)+",,1.17,s,0.03,,,,,,,,-75447.935,keV,6.712,"B-n = 0.08 ,IT = 0.7 ,B- = 99.3 ",
39,97,2,Y,,3522.6,keV,0.4,"(27/2-)",,142,ms,8,,,,,,,,-72592.855,keV,6.72,"B- = 5.2 0.9,IT = 94.8 0.9",
39,98,0,Y,,0,keV,,"0-",,548,ms,1,,,,,,,,-72288.748,keV,7.919,"B- = 100,B-n = 0.33 0.03",
39,98,1,Y,,465.7,keV,0.7,"(7+),(6+)",,2.32,s,0.08,,,,,,,,-71823.04800000001,keV,7.94987804938,"B-n = 3.44 0.95,IT?,B- = 100",
39,99,0,Y,,0,keV,,"(5/2+)",,1.483,s,0.006,,,,,,,,-70643.73,keV,6.615,"B- = 100,B-n = 1.77 0.19",
39,100,0,Y,,0,keV,,"(1-)",,729,ms,8,,,,,,,,-67321.241,keV,11.179,"B- = 100,B-n = 1.11 0.18",
39,100,1,Y,,145,keV,15,"4+",,0.94,s,0.03,,,,,,,,-67176.241,keV,18.707,"B- = 100 ,B-n?",
39,101,0,Y,,0,keV,,"(5/2+)",,429,ms,19,,,,,,,,-65054.787,keV,7.08,"B- = 100,B-n = 1.88 0.16",
39,102,0,Y,,0,keV,,,,396,ms,24,,,,,,,,-61172.641,keV,4.081,"B- = 100,B-n = 6 1.3",
39,102,1,Y,,0,keV,,"(0),(1),(2)",,300,ms,10,,,,,,,,-61172.641,keV,4.081,"B- = 100,B-n = 4 1.5",
39,103,0,Y,,0,keV,,"(5/2+)",,236,ms,12,,,,,,,,-58457.034,keV,11.206,"B- = 100,B-n = 8 2",
39,104,0,Y,,0,keV,,,,197,ms,4,,,,,,,,-54080,keV,200,"B-n = 34 10,B-2n?,B- = 100",
39,105,0,Y,,0,keV,,,,107,ms,+6-9,,,,,,,,-50570,keV,400,"B-n = 82 ,B-2n?,B- = 100",
39,106,0,Y,,0,keV,,,,81,ms,+8-5,,,,,,,,-45790,keV,500,"B-n?,B-2n?,B- = 100",
39,107,0,Y,,0,keV,,,,33.5,ms,3,,,,,,,,-41970,keV,500,"B-n?,B-2n?,B- = 100",
39,108,0,Y,,0,keV,,,,30,ms,5,,,,,,,,-36780,keV,600,"B-n?,B-2n?,B- = 100 ",
39,109,0,Y,,0,keV,,,,25,ms,5,,,,,,,,-32480,keV,700,"B-n?,B-2n?,B- = 100",
39,110,0,Y,,0,keV,0,,,,,,,,,,,,,,,,"B-n?,B-2n?,B- = 100",
39,111,0,Y,,0,keV,0,,,,,,,,,,,,,,,,"B-n?,B-2n?,B- = 100",
40,77,0,Zr,,0,keV,0,,,,,,,,,,,,,-31600,keV,400,"p?,EC+B+?,ECp?",
40,78,0,Zr,,0,keV,0,"0+",,,,,,,,,,,,-40850,keV,400,"ECp?,EC+B+?",
40,79,0,Zr,,0,keV,0,,,56,ms,30,,,,,,,,-46770,keV,300,"ECp?,EC+B+ = 100",
40,80,0,Zr,,0,keV,,"0+",,4.6,s,0.6,,,,,,,,-54760,keV,300,"ECp?,EC+B+ = 100 ",
40,81,0,Zr,,0,keV,,"(3/2-)",,5,s,0.2,,,,,,,,-57524.418,keV,92.218,"ECp = 0.12 0.02,EC+B+ = 100",
40,82,0,Zr,,0,keV,,"0+",,32,s,5,,,,,,,,-63614.063,keV,1.584,"ECp?,EC+B+ = 100 ",
40,83,0,Zr,,0,keV,,"(1/2-)",,41.5,s,2.1,,,,,,,,-65911.659,keV,6.43,"ECp?,EC+B+ = 100 ",
40,84,0,Zr,,0,keV,,"0+",,26,m,0.6,,,,,,,,-71421.692,keV,5.499,"EC+B+ = 100 ",
40,85,0,Zr,,0,keV,,"(7/2+)",,7.86,m,0.04,,,,,,,,-73175.196,keV,6.43,"EC+B+ = 100 ",
40,85,1,Zr,,292.2,keV,0.3,"(1/2-)",,10.9,s,0.3,,,,,,,,-72882.996,keV,6.437,"IT = 100 ,EC+B+ = 0 ",
40,86,0,Zr,,0,keV,,"0+",,16.5,h,0.1,,,,,,,,-77969.023,keV,3.566,"EC+B+ = 100 ",
40,87,0,Zr,,0,keV,,"9/2+",,1.68,h,0.01,,,,,,,,-79347.147,keV,4.146,"EC+B+ = 100 ",
40,87,1,Zr,,335.84,keV,0.19,"1/2-",,14,s,0.2,,,,,,,,-79011.307,keV,4.15,"IT = 100 ",
40,88,0,Zr,,0,keV,,"0+",,83.4,d,0.3,,,,,,,,-83628.874,keV,5.403,"EC = 100 ",
40,89,0,Zr,,0,keV,,"9/2+",,78.364,h,0.015,,,,,,,,-84877.974,keV,2.78,"EC+B+ = 100 ",
40,89,1,Zr,,587.82,keV,0.1,"1/2-",,4.161,m,0.012,,,,,,,,-84290.154,keV,2.782,"IT = 93.77 0.12,EC+B+ = 6.23 0.12",
40,90,0,Zr,,0,keV,,"0+",,STABLE,,,,,,,,51.45,0.04,-88772.547,keV,0.118,,
40,90,1,Zr,,2319,keV,0.009,"5-",,809.2,ms,2,,,,,,,,-86453.547,keV,0.118,"IT = 100 ",
40,91,0,Zr,,0,keV,,"5/2+",,STABLE,,,,,,,,11.22,0.05,-87895.592,keV,0.095,,
40,92,0,Zr,,0,keV,,"0+",,STABLE,,,,,,,,17.15,0.03,-88459.024,keV,0.094,,
40,93,0,Zr,,0,keV,,"5/2+",,1610882,y,51450,,,,,,,,-87122.028,keV,0.456,"B- = 100 ",
40,94,0,Zr,,0,keV,,"0+",,STABLE,,,,,,,,17.38,0.04,-87269.332,keV,0.164,,
40,95,0,Zr,,0,keV,,"5/2+",,64.032,d,0.006,,,,,,,,-85659.94,keV,0.869,"B- = 100 ",
40,96,0,Zr,,0,keV,,"0+",,22948103245991400000,y,+1910344808112369700-1910344808112373800,,,,,,2.8,0.02,-85438.86,keV,0.114,"2B- = 100",
40,97,0,Zr,,0,keV,,"1/2+",,16.749,h,0.008,,,,,,,,-82936.693,keV,0.121,"B- = 100 ",
40,98,0,Zr,,0,keV,,"0+",,30.7,s,0.4,,,,,,,,-81281.757,keV,8.445,"B- = 100 ",
40,99,0,Zr,,0,keV,,"(1/2+)",,2.1,s,0.1,,,,,,,,-77616.67,keV,10.499,"B- = 100 ",
40,100,0,Zr,,0,keV,,"0+",,7.1,s,0.4,,,,,,,,-76372.736,keV,8.143,"B- = 100 ",
40,101,0,Zr,,0,keV,,"3/2+",,2.32,s,0.07,,,,,,,,-73160.987,keV,8.332,"B- = 100 ",
40,102,0,Zr,,0,keV,,"0+",,2.01,s,0.08,,,,,,,,-71581.427,keV,8.758,"B- = 100 ",
40,103,0,Zr,,0,keV,,"(5/2-)",,1.38,s,0.072,,,,,,,,-67808.993,keV,9.223,"B- = 100,B-n = 1 ",
40,104,0,Zr,,0,keV,,"0+",,922,ms,28,,,,,,,,-65717.66,keV,9.316,"B- = 100,B-n = 1 ",
40,105,0,Zr,,0,keV,,,,670,ms,28,,,,,,,,-61458.274,keV,12.11,"B- = 100,B-n = 2 ",
40,106,0,Zr,,0,keV,,"0+",,178,ms,6,,,,,,,,-58749,keV,200,"B- = 100,B-n = 7 ",
40,107,0,Zr,,0,keV,,,,146,ms,4,,,,,,,,-54020,keV,300,"B- = 100,B-n = 23 ",
40,108,0,Zr,,0,keV,,"0+",,77.4,ms,2.2,,,,,,,,-50950,keV,400,"B- = 100 ,B-n?",
40,109,0,Zr,,0,keV,,,,56,ms,3,,,,,,,,-45730,keV,500,"B-n?,B-2n?,B- = 100 ",
40,110,0,Zr,,0,keV,,"0+",,37.6,ms,1.7,,,,,,,,-42220,keV,500,"B-n?,B-2n?,B- = 100 ",
40,111,0,Zr,,0,keV,,,,24,ms,5,,,,,,,,-36480,keV,600,"B-n?,B-2n?,B- = 100 ",
40,112,0,Zr,,0,keV,,"0+",,30,ms,+30-10,,,,,,,,-32420,keV,700,"B-n?,B-2n?,B- = 100 ",
40,113,0,Zr,,0,keV,0,,,,,,,,,,,,,-26340,keV,300,"B-n?,B-2n?,B- = 100",
41,81,0,Nb,,0,keV,,,,40,ns,,,,,,,,,-46360,keV,400,"p?,EC+B+?,ECp?",
41,82,0,Nb,,0,keV,,"(0+)",,50,ms,3,,,,,,,,-51810,keV,300,"ECp?,EC+B+ = 100 ",
41,83,0,Nb,,0,keV,,"(5/2+)",,3.9,s,0.2,,,,,,,,-57612.91,keV,162.08,"ECp?,EC+B+ = 100 ",
41,84,0,Nb,,0,keV,,"(1+)",,9.8,s,0.9,,,,,,,,-61193.842,keV,0.401,"ECp?,EC+B+ = 100 ",
41,85,0,Nb,,0,keV,,"(9/2+)",,20.5,s,1.2,,,,,,,,-66279.684,keV,4.099,"EC+B+ = 100 ",
41,85,1,Nb,,0,keV,,"(1/2-),(3/2-)",,3.3,s,0.9,,,,,,,,-66279.684,keV,4.099,"IT?,EC+B+?",
41,86,0,Nb,,0,keV,,"(6+)",,88,s,1,,,,,,,,-69134.061,keV,5.499,"EC+B+ = 100 ",
41,87,0,Nb,,0,keV,,"(1/2)-",,3.7,m,0.1,,,,,,,,-73874.493,keV,6.802,"EC+B+ = 100 ",
41,87,1,Nb,,3.9,keV,0.1,"(9/2)+",,2.6,m,0.1,,,,,,,,-73870.59300000001,keV,6.8027350382,"EC+B+ = 100 ",
41,88,0,Nb,,0,keV,,"(8+)",,14.5,m,0.09,,,,,,,,-76171.555,keV,57.808,"EC+B+ = 100 ",
41,88,1,Nb,,0,keV,,"(4-)",,7.7,m,0.1,,,,,,,,-76171.555,keV,57.808,"EC+B+ = 100 ",
41,89,0,Nb,,0,keV,,"(9/2+)",,2.03,h,0.07,,,,,,,,-80625.755,keV,23.63,"EC+B+ = 100 ",
41,89,1,Nb,,15,keV,15,"(1/2)-",,66,m,2,,,,,,,,-80610.755,keV,27.989,"EC+B+ = 100 ",
41,90,0,Nb,,0,keV,,"8+",,14.6,h,0.05,,,,,,,,-82661.531,keV,3.317,"EC+B+ = 100 ",
41,90,1,Nb,,124.67,keV,0.25,"4-",,18.91,s,0.05,,,,,,,,-82536.861,keV,3.326,"IT = 100 ",
41,91,0,Nb,,0,keV,,"9/2+",,680,y,130,,,,,,,,-86638.028,keV,2.926,"EC+B+ = 100 ",
41,91,1,Nb,,104.6,keV,0.05,"1/2-",,60.86,d,0.22,,,,,,,,-86533.428,keV,2.926,"IT = 96.6 0.5,EC+B+ = 3.4 0.5",
41,92,0,Nb,,0,keV,,"7+",,34708075,y,2364331,,,,,,,,-86453.29,keV,1.784,"EC+B+ = 100 ",
41,92,1,Nb,,135.5,keV,0.4,"(2)+",,10.12,d,0.02,,,,,,,,-86317.79,keV,1.83,"EC+B+ = 100 ",
41,93,0,Nb,,0,keV,,"9/2+",,STABLE,,,,,,,,100,0,-87212.84,keV,1.49,,
41,93,1,Nb,,30.76,keV,0.005,"1/2-",,16.12,y,0.12,,,,,,,,-87182.08,keV,1.49,"IT = 100 ",
41,94,0,Nb,,0,keV,,"6+",,20381,y,385,,,,,,,,-86369.063,keV,1.491,"B- = 100 ",
41,94,1,Nb,,40.892,keV,0.012,"3+",,6.263,m,0.004,,,,,,,,-86328.17099999999,keV,1.49104828896,"B- = 0.5 0.06,IT = 99.5 0.06",
41,95,0,Nb,,0,keV,,"9/2+",,34.991,d,0.01,,,,,,,,-86786.272,keV,0.508,"B- = 100 ",
41,95,1,Nb,,235.69,keV,0.02,"1/2-",,3.61,d,0.03,,,,,,,,-86550.582,keV,0.508,"B- = 5.6 0.6,IT = 94.4 0.6",
41,96,0,Nb,,0,keV,,"6+",,23.35,h,0.05,,,,,,,,-85602.83,keV,0.147,"B- = 100 ",
41,97,0,Nb,,0,keV,,"9/2+",,72.1,m,0.4,,,,,,,,-85602.797,keV,4.244,"B- = 100 ",
41,97,1,Nb,,743.35,keV,0.03,"1/2-",,58.7,s,1.8,,,,,,,,-84859.447,keV,4.244,"IT = 100 ",
41,98,0,Nb,,0,keV,,"1+",,2.86,s,0.06,,,,,,,,-83524.612,keV,5.001,"B- = 100 ",
41,98,1,Nb,,84,keV,4,"(5)+",,51.1,m,0.3,,,,,,,,-83440.612,keV,6.404,"B- = 99.8 ,IT = 0.2 ",
41,99,0,Nb,,0,keV,,"9/2+",,15,s,0.2,,,,,,,,-82335.344,keV,12.004,"B- = 100 ",
41,99,1,Nb,,365.27,keV,0.08,"1/2-",,2.5,m,0.1,,,,,,,,-81970.074,keV,12.004,"B- = 96.2 ,IT = 3.8 ",
41,100,0,Nb,,0,keV,,"1+",,1.4,s,0.1,,,,,,,,-79791.246,keV,7.976,"B- = 100 ",
41,100,1,Nb,,314,keV,23,"(5)+",,2.99,s,0.11,,,,,,,,-79477.246,keV,24.344,"B- = 100 ",
41,101,0,Nb,,0,keV,,"5/2+",,7.2,s,0.2,,,,,,,,-78891.488,keV,3.749,"B- = 100 ",
41,102,0,Nb,,0,keV,,"(4+)",,4.3,s,0.4,,,,,,,,-76298.265,keV,2.511,"B- = 100 ",
41,102,1,Nb,,93,keV,23,"1+",,1.31,s,0.16,,,,,,,,-76205.265,keV,23.137,"B- = 100 ",
41,103,0,Nb,,0,keV,,"(5/2+)",,1.36,s,0.05,,,,,,,,-75028.667,keV,3.935,"B- = 100,B-n?",
41,104,0,Nb,,0,keV,,"(1+)",,4.9,s,0.3,,,,,,,,-71810.997,keV,1.784,"B- = 100,B-n = 0.06 0.03",
41,104,1,Nb,,215,keV,12,,,0.98,s,0.05,,,,,,,,-71595.997,keV,12.132,"B- = 100,B-n = 0.05 0.03",
41,105,0,Nb,,0,keV,,"(5/2+)",,2.92,s,0.09,,,,,,,,-69915.547,keV,4.028,"B- = 100,B-n = 1.7 0.9",
41,106,0,Nb,,0,keV,,"(1-)",,1.097,s,0.019,,,,,,,,-66202.678,keV,1.416,"B- = 100,B-n = 4.8 0.3",
41,107,0,Nb,,0,keV,,"(5/2+)",,287,ms,8,,,,,,,,-63723.805,keV,8.023,"B- = 100,B-n = 7.4 0.9",
41,108,0,Nb,,0,keV,,"(2+)",,194,ms,6,,,,,,,,-59545.198,keV,8.239,"B-n = 6.3 0.5,B-2n?,B- = 100",
41,109,0,Nb,,0,keV,,,,107,ms,5,,,,,,,,-56689.8,keV,430.816,"B- = 100,B-n = 31 5",
41,110,0,Nb,,0,keV,,"(6-)",,75,ms,1,,,,,,,,-52309.914,keV,838.345,"B-n = 40 8,B-2n?,B- = 100",
41,110,1,Nb,,0,keV,,"(2-)",,94,ms,9,,,,,,,,-52309.914,keV,838.345,"B-n = 40 8,B-2n?,B- = 100",
41,111,0,Nb,,0,keV,,,,54,ms,2,,,,,,,,-48960,keV,300,"B-n?,B-2n?,B- = 100",
41,112,0,Nb,,0,keV,,,,38,ms,2,,,,,,,,-44070,keV,300,"B-n?,B-2n?,B- = 100",
41,113,0,Nb,,0,keV,,,,32,ms,4,,,,,,,,-40210,keV,400,"B-n?,B-2n?,B- = 100 ",
41,114,0,Nb,,0,keV,,,,17,ms,5,,,,,,,,-34960,keV,500,"B-n?,B-2n?,B- = 100",
41,115,0,Nb,,0,keV,,,,23,ms,8,,,,,,,,-30880,keV,500,"B-n?,B-2n?,B- = 100",
41,116,0,Nb,,0,keV,0,,,,,,,,,,,,,-25230,keV,300,"B-n?,B-2n?,B- = 100",
41,117,0,Nb,,0,keV,0,,,,,,,,,,,,,,,,"B-n?,B-2n?,B- = 100",
42,81,0,Mo,,0,keV,,,,,,,,,,,,,,-31460,keV,500,"ECp?,EC+B+?",
42,82,0,Mo,,0,keV,,"0+",,,,,,,,,,,,-40370,keV,400,"ECp?,EC+B+ = 100 ",
42,83,0,Mo,,0,keV,,,,6,ms,+30-3,,,,,,,,-46340,keV,401,"ECp?,EC+B+ = 100 ",
42,84,0,Mo,,0,keV,,"0+",,2.3,s,0.4,,,,,,,,-54170,keV,298,"ECp?,EC+B+ = 100 ",
42,85,0,Mo,,0,keV,,"(1/2+)",,3.2,s,0.2,,,,,,,,-57509.76,keV,15.835,"ECp ~ 0.14 ,EC+B+ = 100",
42,86,0,Mo,,0,keV,,"0+",,19.1,s,0.3,,,,,,,,-64110.927,keV,2.932,"EC+B+ = 100 ",
42,87,0,Mo,,0,keV,,"(7/2+)",,14.1,s,0.3,,,,,,,,-66884.817,keV,2.857,"ECp = 15 8,EC+B+ = 100",
42,87,1,Mo,,310,keV,30,"(1/2+)",,,,,,,,,,,,-66574.817,keV,30.136,"ECp?,EC+B+?",
42,88,0,Mo,,0,keV,,"0+",,8,m,0.2,,,,,,,,-72686.553,keV,3.819,"EC+B+ = 100 ",
42,89,0,Mo,,0,keV,,"(9/2+)",,2.04,m,0.11,,,,,,,,-75014.944,keV,3.912,"EC+B+ = 100 ",
42,89,1,Mo,,387.5,keV,0.2,"(1/2-)",,190,ms,15,,,,,,,,-74627.444,keV,3.917,"IT = 100 ",
42,90,0,Mo,,0,keV,,"0+",,5.56,h,0.09,,,,,,,,-80172.514,keV,3.463,"EC+B+ = 100 ",
42,91,0,Mo,,0,keV,,"9/2+",,15.49,m,0.01,,,,,,,,-82208.834,keV,6.238,"EC+B+ = 100 ",
42,91,1,Mo,,653.01,keV,0.09,"1/2-",,65,s,0.7,,,,,,,,-81555.82400000001,keV,6.23864921277,"IT = 50 1.6,EC+B+ = 50 1.6",
42,92,0,Mo,,0,keV,,"0+",,STABLE,,,,,,,,14.649,0.106,-86808.587,keV,0.157,,
42,93,0,Mo,,0,keV,,"5/2+",,4000,y,800,,,,,,,,-86807.079,keV,0.181,"EC = 100 ",
42,93,1,Mo,,2424.95,keV,0.04,"21/2+",,6.85,h,0.07,,,,,,,,-84382.129,keV,0.185,"IT = 99.88 0.01,EC+B+ = 0.12 0.01",
42,94,0,Mo,,0,keV,,"0+",,STABLE,,,,,,,,9.187,0.033,-88414.079,keV,0.141,,
42,95,0,Mo,,0,keV,,"5/2+",,STABLE,,,,,,,,15.873,0.03,-87711.872,keV,0.123,,
42,96,0,Mo,,0,keV,,"0+",,STABLE,,,,,,,,16.673,0.008,-88794.889,keV,0.12,,
42,97,0,Mo,,0,keV,,"5/2+",,STABLE,,,,,,,,9.582,0.015,-87544.7,keV,0.165,,
42,98,0,Mo,,0,keV,,"0+",,STABLE,,,,,,,,24.292,0.08,-88115.98,keV,0.174,,
42,99,0,Mo,,0,keV,,"1/2+",,65.936,h,0.009,,,,,,,,-85970.106,keV,0.229,"B- = 100 ",
42,100,0,Mo,,0,keV,,"0+",,7066465914278988000,y,+158558245089690620-149056960893800450,,,,,,9.744,0.065,-86193.029,keV,0.301,"2B- = 100",
42,101,0,Mo,,0,keV,,"1/2+",,14.61,m,0.03,,,,,,,,-83519.952,keV,0.308,"B- = 100 ",
42,102,0,Mo,,0,keV,,"0+",,11.3,m,0.2,,,,,,,,-83560.866,keV,8.305,"B- = 100 ",
42,103,0,Mo,,0,keV,,"(3/2+)",,67.5,s,1.5,,,,,,,,-80954.331,keV,9.223,"B- = 100 ",
42,104,0,Mo,,0,keV,,"0+",,59.4,s,1.1,,,,,,,,-80343.748,keV,8.911,"B- = 100 ",
42,105,0,Mo,,0,keV,,"(5/2-)",,36.3,s,0.8,,,,,,,,-77330.788,keV,9.055,"B- = 100 ",
42,106,0,Mo,,0,keV,,"0+",,8.73,s,0.12,,,,,,,,-76128.003,keV,9.13,"B- = 100 ",
42,107,0,Mo,,0,keV,,"1/2+",,3.5,s,0.5,,,,,,,,-72544.975,keV,9.223,"B- = 100 ",
42,108,0,Mo,,0,keV,,"0+",,1.106,s,0.01,,,,,,,,-70749.297,keV,9.223,"B- = 100 ",
42,109,0,Mo,,0,keV,,"1/2+",,700,ms,14,,,,,,,,-66659.285,keV,11.179,"B- = 100,B-n = 1.3 0.6",
42,110,0,Mo,,0,keV,,"0+",,287,ms,10,,,,,,,,-64535.814,keV,24.219,"B- = 100,B-n = 2 0.7",
42,111,0,Mo,,0,keV,,"(1/2+),(3/2+)",,186,ms,9,,,,,,,,-59939.813,keV,12.578,"B- = 100,B-n = 12 ",
42,111,1,Mo,,0,keV,,"(7/2-),(9/2-)",~,200,ms,,,,,,,,,-59939.813,keV,12.578,"B- = 100 ,B-n?",
42,112,0,Mo,,0,keV,,"0+",,125,ms,5,,,,,,,,-57480,keV,200,"B- = 100 ,B-n?",
42,113,0,Mo,,0,keV,,,,80,ms,2,,,,,,,,-52650,keV,300,"B- = 100 ,B-n?",
42,114,0,Mo,,0,keV,,"0+",,58,ms,2,,,,,,,,-49680,keV,300,"B- = 100 ,B-n?",
42,115,0,Mo,,0,keV,,,,45.6,ms,2,,,,,,,,-44550,keV,400,"B-n?,B-2n?,B- = 100",
42,116,0,Mo,,0,keV,,"0+",,32,ms,4,,,,,,,,-41210,keV,500,"B-n?,B-2n?,B- = 100",
