"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
5,16,0,B,,0,keV,,,,,,,,100,keV,,,,,37111.699,keV,24.566,"n = 100 ",
5,17,0,B,,0,keV,0,"(3/2-)",,5.07,ms,0.05,,,,,,,,43716.322,keV,204.104,"B-n = 63 1,B-3n = 3.5 0.7,B-4n = 0.4 0.3,B- = 100,B-2n = 12 2",
5,18,0,B,,0,keV,,"(2-)",,,,,,,,,,,,51792.64,keV,204.165,"n = 100 ",
5,19,0,B,,0,keV,0,"(3/2-)",,2.92,ms,0.13,,,,,,,,59770.251,keV,525.363,"B-3n = 9.1 ,B-2n = 16 +5.6-4.8,B- = 100,B-n = 71.8 +8.3-9.1",
5,20,0,B,,0,keV,,"(1-),(2-)",,,,,,500,keV,,,,,69401.569,keV,546.357,"n = 100 ",
5,21,0,B,,0,keV,,"(3/2-)",,,,,,600,keV,,,,,78382.887,keV,558.664,"2n = 100",
6,8,0,C,,0,keV,,"0+",,,,,,130,keV,50,,,,35064.269,keV,18.243,"2p = 100 ",
6,9,0,C,,0,keV,,"3/2-",,126.5,ms,0.9,,,,,,,,28910.971,keV,2.137,"ECa = 37.9 5.8,EC+B+ = 100 ,ECp = 62 1.9",
6,10,0,C,,0,keV,,"0+",,19.3015,s,0.0018,,,,,,,,15698.673,keV,0.07,"EC+B+ = 100 ",
6,11,0,C,,0,keV,,"3/2-",,20.3401,m,0.0041,,,,,,,,10649.397,keV,0.06,"EC+B+ = 100 ",
6,12,0,C,,0,keV,,"0+",,STABLE,,,,,,,,98.94,,0,keV,0,,
6,13,0,C,,0,keV,,"1/2-",,STABLE,,,,,,,,1.06,,3125.00933,keV,0.00023,,
6,14,0,C,,0,keV,,"0+",,5686,y,22,,,,,,,,3019.89328,keV,0.00375,"B- = 100 ",
6,15,0,C,,0,keV,,"1/2+",,2.451,s,0.004,,,,,,,,9873.145,keV,0.8,"B- = 100 ",
6,16,0,C,,0,keV,0,"0+",,750,ms,5,,,,,,,,13694.133,keV,3.578,"B- = 100,B-n = 99.28 0.12",
6,17,0,C,,0,keV,0,"3/2+",,193,ms,5,,,,,,,,21031.88,keV,17.365,"B-n = 28.4 1.3,B-2n?,B- = 100",
6,18,0,C,,0,keV,0,"0+",,92,ms,2,,,,,,,,24919.266,keV,30,"B-n = 31.5 1.5,B-2n?,B- = 100",
6,19,0,C,,0,keV,0,"(1/2+)",,46.3,ms,2.3,,,,,,,,32413.754,keV,98.389,"B-n = 47 3,B-2n = 7 3,B- = 100",
6,20,0,C,,0,keV,0,"0+",,16,ms,3,,,,,,,,37503.567,keV,230.625,"B-n = 66 10,B-2n = 18.6 ,B- = 100",
6,22,0,C,,0,keV,0,"0+",,6.1,ms,+1.4-1.2,,,,,,,,53611.203,keV,231.49,"B-n = 61 +14-13,B-2n = 37 ,B- = 100",
7,10,0,N,,0,keV,,"(1-)",,,,,,2.5,MeV,+2-1.5,,,,38800.027,keV,400,"p = 100 ",
7,11,0,N,,0,keV,,"1/2+",,,,,,780,keV,10,,,,24365.644,keV,5,"p = 100 ",
7,12,0,N,,0,keV,,"1+",,10.996,ms,0.015,,,,,,,,17338.068,keV,1,"ECa = 1.93 0.04,EC+B+ = 100 ",
7,13,0,N,,0,keV,,"1/2-",,9.967,m,0.004,,,,,,,,5345.481,keV,0.27,"EC+B+ = 100 ",
7,14,0,N,,0,keV,,"1+",,STABLE,,,,,,,,99.6205,,2863.41683,keV,0.00022,,
7,15,0,N,,0,keV,,"1/2-",,STABLE,,,,,,,,0.3795,,101.43809,keV,0.00058,,
7,16,0,N,,0,keV,0,"2-",,7.13,s,0.01,,,,,,,,5683.907,keV,2.301,"B- = 100 ,B-a = 0.00154 0.00005",
7,17,0,N,,0,keV,0,"1/2-",,4.171,s,0.003,,,,,,,,7870.079,keV,15,"B-a = 0.0025 0.0004,B-n = 95.1 0.7,B- = 100",
7,18,0,N,,0,keV,0,"1-",,619,ms,2,,,,,,,,13113.167,keV,18.57,"B-a = 12.2 0.6,B-2n?,B- = 100,B-n = 8.3 1.3",
7,19,0,N,,0,keV,0,"1/2-",,336,ms,3,,,,,,,,15856.255,keV,16.404,"B- = 100,B-n = 41.8 0.9",
7,20,0,N,,0,keV,0,"(2-)",,136,ms,3,,,,,,,,21766.498,keV,78.894,"B-n = 42.9 1.4,B-2n ~ 4.5 ,B- = 100",
7,21,0,N,,0,keV,0,"(1/2-)",,85.3,ms,4.5,,,,,,,,25231.915,keV,134.048,"B-n = 86.5 3.7,B-2n?,B- = 100",
7,22,0,N,,0,keV,0,"(0-)",,20.9,ms,2.1,,,,,,,,31764.805,keV,207.779,"B-n = 34 2,B-2n = 12 3,B- = 100",
7,23,0,N,,0,keV,0,,,14.1,ms,+1.2-1.5,,,,,,,,36720.429,keV,420.57,"B-3n = 3.4 ,B-2n = 8 4,B- = 100,B-n = 42 6",
7,24,0,N,,0,keV,,,,52,ns,,,,,,,,,46938,keV,401,"n?",
8,11,0,O,,0,keV,0,"(3/2-)",,,,,,2.31,MeV,0.14,,,,47738.913,keV,60.038,"2p = 100",
8,12,0,O,,0,keV,,"0+",,,,,,51,keV,19,,,,32013.335,keV,12,"2p = 100 ",
8,13,0,O,,0,keV,,"(3/2-)",,8.58,ms,0.07,,,,,,,,23115.432,keV,9.526,"ECp = 10.8 2,EC+B+ = 100 ",
8,14,0,O,,0,keV,,"0+",,70.6183,s,0.0074,,,,,,,,8007.781,keV,0.025,"EC+B+ = 100 ",
8,15,0,O,,0,keV,,"1/2-",,122.268,s,0.043,,,,,,,,2855.622,keV,0.49,"EC+B+ = 100 ",
8,16,0,O,,0,keV,,"0+",,STABLE,,,,,,,,99.757,,-4737.00217,keV,0.0003,,
8,17,0,O,,0,keV,,"5/2+",,STABLE,,,,,,,,0.03835,,-808.76421,keV,0.00064,,
8,18,0,O,,0,keV,,"0+",,STABLE,,,,,,,,0.2045,,-782.81634,keV,0.00064,,
8,19,0,O,,0,keV,,"5/2+",,26.47,s,0.006,,,,,,,,3332.858,keV,2.637,"B- = 100 ",
8,20,0,O,,0,keV,,"0+",,13.51,s,0.04,,,,,,,,3796.172,keV,0.885,"B- = 100 ",
8,21,0,O,,0,keV,,"(5/2+)",,3.42,s,0.1,,,,,,,,8062.034,keV,12,"B- = 100 ",
8,22,0,O,,0,keV,0,"0+",,2.19,s,0.16,,,,,,,,9283.032,keV,56.921,"B- = 100,B-n = 22 ",
8,23,0,O,,0,keV,0,"1/2+",,96,ms,8,,,,,,,,14621.371,keV,121.712,"B- = 100,B-n = 7 2",
8,24,0,O,,0,keV,0,"0+",,72,ms,4,,,,,,,,18500.404,keV,164.874,"B- = 100,B-n = 41 3",
8,25,0,O,,0,keV,0,"(3/2+)",,,,,,88,keV,6,,,,27329.03,keV,165.084,"n = 100",
8,26,0,O,,0,keV,0,"0+",,0.0045,ns,+0.0032-0.0034,,,,,,,,34661.041,keV,164.95,"2n = 100",
8,28,0,O,,0,keV,,"0+",,100,ns,,,,,,,,,52080,keV,699,"2n?",
9,14,0,F,,0,keV,0,"2-",,,,,,910,keV,100,,,,31964.403,keV,41.119,"p = 100",
9,15,0,F,,0,keV,,"1/2+",,,,,,0.38,MeV,0.21,,,,16566.752,keV,14,"p = 100 ",
9,16,0,F,,0,keV,,"0-",,,,,,23.1,keV,3.8,,,,10675.182,keV,5.364,"p = 100 ",
9,17,0,F,,0,keV,,"5/2+",,64.368,s,0.025,,,,,,,,1951.701,keV,0.248,"EC+B+ = 100 ",
9,18,0,F,,0,keV,,"1+",,109.734,m,0.008,,,,,,,,873.112,keV,0.463,"EC+B+ = 100",
9,19,0,F,,0,keV,,"1/2+",,STABLE,,,,,,,,100,0,-1487.44512,keV,0.00082,,
9,20,0,F,,0,keV,,"2+",,11.0064,s,0.0081,,,,,,,,-17.463,keV,0.03,"B- = 100 ",
9,21,0,F,,0,keV,,"5/2+",,4.158,s,0.02,,,,,,,,-47.605,keV,1.8,"B- = 100 ",
9,22,0,F,,0,keV,0,"4+",,4.23,s,0.04,,,,,,,,2793.376,keV,12.399,"B- = 100,B-n = 11 ",
9,23,0,F,,0,keV,0,"(5/2+)",,2.23,s,0.14,,,,,,,,3285.263,keV,33.32,"B- = 100,B-n = 14 ",
9,24,0,F,,0,keV,0,"(3+)",,384,ms,15,,,,,,,,7544.516,keV,97.67,"B- = 100,B-n = 5.9 ",
9,25,0,F,,0,keV,0,"(5/2+)",,81,ms,10,,,,,,,,11334.167,keV,96.442,"B-n = 23.6 3.2,B-2n?,B- = 100",
9,26,0,F,,0,keV,0,"1+",,8.6,ms,0.7,,,,,,,,18674.655,keV,107.027,"B-n = 14 3,B-2n?,B- = 100",
9,26,1,F,,643.4,keV,0.1,"(4+)",,2.2,ms,0.1,,,,,,,,19318.055,keV,107.027,"B-n = 12 8,IT = 82 11,B- = 18 11",
9,27,0,F,,0,keV,0,"(5/2+)",,5.3,ms,0.3,,,,,,,,25133.478,keV,120.198,"B-n = 90 +10-30,B-2n?,B- = 100",
