Z,N,A,element,level_index,level_energy_keV,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw
6,5,11,C,0,0.0,3/2-,10649.397,,1220.406,chart,False,False,EC_BP,EC+B+ = 100 
6,6,12,C,0,0.0,0+,0.0,98.94,,none,True,False,STABLE,
6,7,13,C,0,0.0,1/2-,3125.00933,1.06,,none,True,False,STABLE,
6,8,14,C,0,0.0,0+,3019.89328,,179436513600.0,chart,False,False,B-,B- = 100 
6,9,15,C,0,0.0,1/2+,9873.145,,2.451,chart,False,False,B-,B- = 100 
6,10,16,C,0,0.0,0+,13694.133,,0.75,chart,False,False,B-,"B- = 100,B-n = 99.28 0.12"
6,11,17,C,0,0.0,3/2+,21031.88,,0.193,chart,False,False,B-,"B-n = 28.4 1.3,B-2n?,B- = 100"
6,12,18,C,0,0.0,0+,24919.266,,0.092,chart,False,False,B-,"B-n = 31.5 1.5,B-2n?,B- = 100"
6,13,19,C,0,0.0,(1/2+),32413.754,,0.0463,chart,False,False,B-,"B-n = 47 3,B-2n = 7 3,B- = 100"
6,14,20,C,0,0.0,0+,37503.567,,0.016,chart,False,False,B-,"B-n = 66 10,B-2n = 18.6 ,B- = 100"
6,16,22,C,0,0.0,0+,53611.203,,0.0060999999999999,chart,False,False,B-,"B-n = 61 +14-13,B-2n = 37 ,B- = 100"
7,3,10,N,0,0.0,(1-),38800.027,,1.8228e-22,chart,False,True,OTHER,p = 100 
7,4,11,N,0,0.0,1/2+,24365.644,,5.842307692307694e-22,chart,False,True,OTHER,p = 100 
7,5,12,N,0,0.0,1+,17338.068,,0.010996,chart,False,False,EC_BP,"ECa = 1.93 0.04,EC+B+ = 100 "
7,6,13,N,0,0.0,1/2-,5345.481,,598.02,chart,False,False,EC_BP,EC+B+ = 100 
7,7,14,N,0,0.0,1+,2863.41683,99.6205,,none,True,False,STABLE,
7,8,15,N,0,0.0,1/2-,101.43809,0.3795,,none,True,False,STABLE,
7,9,16,N,0,0.0,2-,5683.907,,7.13,chart,False,False,B-,"B- = 100 ,B-a = 0.00154 0.00005"
7,10,17,N,0,0.0,1/2-,7870.079,,4.171,chart,False,False,B-,"B-a = 0.0025 0.0004,B-n = 95.1 0.7,B- = 100"
7,11,18,N,0,0.0,1-,13113.167,,0.619,chart,False,False,B-,"B-a = 12.2 0.6,B-2n?,B- = 100,B-n = 8.3 1.3"
7,12,19,N,0,0.0,1/2-,15856.255,,0.336,chart,False,False,B-,"B- = 100,B-n = 41.8 0.9"
7,13,20,N,0,0.0,(2-),21766.498,,0.136,chart,False,False,B-,"B-n = 42.9 1.4,B-2n ~ 4.5 ,B- = 100"
7,14,21,N,0,0.0,(1/2-),25231.915,,0.0853,chart,False,False,B-,"B-n = 86.5 3.7,B-2n?,B- = 100"
7,15,22,N,0,0.0,(0-),31764.805,,0.0209,chart,False,False,B-,"B-n = 34 2,B-2n = 12 3,B- = 100"
7,16,23,N,0,0.0,,36720.429,,0.0141,chart,False,False,B-,"B-3n = 3.4 ,B-2n = 8 4,B- = 100,B-n = 42 6"
7,17,24,N,0,0.0,,46938.0,,5.2e-08,chart,False,False,OTHER,n?
8,3,11,O,0,0.0,(3/2-),47738.913,,1.9727272727272728e-22,chart,False,True,OTHER,2p = 100
8,4,12,O,0,0.0,0+,32013.335,,8.935294117647059e-21,chart,False,True,OTHER,2p = 100 
8,5,13,O,0,0.0,(3/2-),23115.432,,0.00858,chart,False,False,EC_BP,"ECp = 10.8 2,EC+B+ = 100 "
8,6,14,O,0,0.0,0+,8007.781,,70.6183,chart,False,False,EC_BP,EC+B+ = 100 
8,7,15,O,0,0.0,1/2-,2855.622,,122.268,chart,False,False,EC_BP,EC+B+ = 100 
8,8,16,O,0,0.0,0+,-4737.00217,99.757,,none,True,False,STABLE,
8,9,17,O,0,0.0,5/2+,-808.76421,0.03835,,none,True,False,STABLE,
8,10,18,O,0,0.0,0+,-782.81634,0.2045,,none,True,False,STABLE,
8,11,19,O,0,0.0,5/2+,3332.858,,26.47,chart,False,False,B-,B- = 100 
8,12,20,O,0,0.0,0+,3796.172,,13.51,chart,False,False,B-,B- = 100 
8,13,21,O,0,0.0,(5/2+),8062.034,,3.42,chart,False,False,B-,B- = 100 
8,14,22,O,0,0.0,0+,9283.032,,2.19,chart,False,False,B-,"B- = 100,B-n = 22 "
8,15,23,O,0,0.0,1/2+,14621.371,,0.096,chart,False,False,B-,"B- = 100,B-n = 7 2"
8,16,24,O,0,0.0,0+,18500.404,,0.072,chart,False,False,B-,"B- = 100,B-n = 41 3"
8,17,25,O,0,0.0,(3/2+),27329.03,,5.178409090909091e-21,chart,False,True,OTHER,n = 100
8,18,26,O,0,0.0,0+,34661.041,,4.5e-12,chart,False,False,OTHER,2n = 100
8,20,28,O,0,0.0,0+,52080.0,,1.0000000000000001e-07,chart,False,False,OTHER,2n?
9,5,14,F,0,0.0,2-,31964.403,,5.0076923076923085e-22,chart,False,True,OTHER,p = 100
